"","pmid","variable_name","variable","value","annotators","var_freq","precision"
"1354","34176293","COGNITIVE DECLINE","CONSTRUCT","DECREASE IN COGNITIVE ABILITIES OVER TIME",10,1,0.1
"1355","37711969","COGNITIVE FUNCTIONING","CONSTRUCT","MENTAL ABILITIES SUCH AS ATTENTION, PSYCHOMOTOR SPEED, AND EXECUTIVE FUNCTIONING",10,1,0.1
"1356","37711969","ARTERIAL STIFFNESS","CONSTRUCT","MEASURE OF RIGIDITY IN THE ARTERIES",10,1,0.1
"1357","37711969","CEREBROVASCULAR PULSATILITY","CONSTRUCT","PULSATILE FLOW IN THE CEREBRAL VESSELS",10,1,0.1
"1358","35897033","GLOBAL COGNITIVE Z-SCORE [GCS(Z)]","CONSTRUCT","AGGREGATE Z-SCORE REPRESENTING COGNITIVE PERFORMANCE",10,1,0.1
"1359","35897033","MINI-MENTAL STATE EXAMINATION","CONSTRUCT","TEST ASSESSING COGNITIVE FUNCTION",10,1,0.1
"1360","35897033","SEMANTIC VERBAL FLUENCY TEST","CONSTRUCT","ASSESSMENT OF VERBAL FLUENCY AND EXECUTIVE FUNCTION",10,1,0.1
"1361","35897033","TRAIL MAKING TEST A/B","CONSTRUCT","ASSESSMENT OF VISUAL ATTENTION, TASK SWITCHING, AND PROCESSING SPEED",10,1,0.1
"1362","35897033","WORD MEMORY TESTS","CONSTRUCT","EVALUATION OF VERBAL MEMORY",10,1,0.1
"1363","35897033","DEPRESSION SYMPTOMS","CONSTRUCT","PRESENCE OF SYMPTOMS INDICATIVE OF DEPRESSION",10,1,0.1
"1364","35897033","ARTERIAL HYPERTENSION","CONSTRUCT","CONDITION OF HIGH BLOOD PRESSURE IN ARTERIES",10,1,0.1
"1365","35897033","DIABETIC RETINOPATHY","CONSTRUCT","PROGRESSIVE DAMAGE TO THE RETINA DUE TO DIABETES",10,1,0.1
"1366","35897033","CARDIOVASCULAR DISEASE","CONSTRUCT","CONDITIONS AFFECTING THE HEART AND BLOOD VESSELS",10,1,0.1
"1367","35533660","SUBJECTIVE COGNITIVE DECLINE","CONSTRUCT","SELF-REPORTED DECLINE IN COGNITION",10,1,0.1
"1368","35533660","PERCEIVED SOCIAL STATUS","CONSTRUCT","SUBJECTIVE ASSESSMENT OF AN INDIVIDUAL'S SOCIAL STANDING",10,1,0.1
"1369","35533660","SEXUALITY","CONSTRUCT","SEXUAL ORIENTATION OR IDENTITY",10,1,0.1
"1370","35533660","PHYSICAL ACTIVITY","CONSTRUCT","LEVEL OF ENGAGEMENT IN EXERCISE OR MOVEMENT",10,1,0.1
"1371","34872609","BODY HEIGHT","CONSTRUCT","BIOMEDICAL MEASURE OF AN INDIVIDUAL'S HEIGHT",10,1,0.1
"1372","34872609","MINI MENTAL STATE EXAMINATION SCORES","CONSTRUCT","ASSESSMENT TOOL FOR COGNITIVE FUNCTION AND IMPAIRMENT",10,1,0.1
"1373","34872609","SMOKING STATUS","CONSTRUCT","ASSESSMENT OF SMOKING BEHAVIOR",10,1,0.1
"1374","34872609","DRINKING STATUS","CONSTRUCT","ASSESSMENT OF ALCOHOL CONSUMPTION BEHAVIOR",10,1,0.1
"1375","38443972","MARITAL STATUS","CONSTRUCT","CURRENT MARITAL STATUS OF THE INDIVIDUAL",10,1,0.1
"1376","38443972","SMOKING","CONSTRUCT","SMOKING STATUS OF THE INDIVIDUAL",10,1,0.1
"1377","38443972","INCOME","CONSTRUCT","FINANCIAL INCOME LEVEL OF THE INDIVIDUAL",10,1,0.1
"1378","38443972","PHYSICAL ACTIVITY","CONSTRUCT","LEVEL OF PHYSICAL ACTIVITY ENGAGED IN BY THE INDIVIDUAL",10,1,0.1
"1379","38443972","DEMENTIA","CONSTRUCT","COGNITIVE IMPAIRMENT CONDITION IN THE INDIVIDUAL",10,1,0.1
"1380","38443972","DEPRESSED MOOD","CONSTRUCT","FEELINGS OF SADNESS OR HOPELESSNESS EXPERIENCED BY THE INDIVIDUAL",10,1,0.1
"1381","37079031","RETINAL THICKNESS","CONSTRUCT","THICKNESS OF THE INNER RETINAL LAYER",10,1,0.1
"1382","37079031","UNIFIED HUNTINGTON'S DISEASE RATING SCALE SCORE","CONSTRUCT","RATING BASED ON UNIFIED HUNTINGTON'S DISEASE RATING SCALE",10,1,0.1
"1383","37079031","CAG REPEATS","CONSTRUCT","NUMBER OF CAG REPEATS ASSOCIATED WITH HUNTINGTON'S DISEASE",10,1,0.1
"1384","37079031","DISEASE DURATION","CONSTRUCT","LENGTH OF TIME AN INDIVIDUAL HAS HAD HUNTINGTON'S DISEASE",10,1,0.1
"1385","37079031","SMOKING STATUS","CONSTRUCT","STATUS OF TOBACCO SMOKING IN INDIVIDUALS",10,1,0.1
"1386","37079031","HYPERTENSION STATUS","CONSTRUCT","STATUS OF HYPERTENSION CONDITION IN INDIVIDUALS",10,1,0.1
"1387","36265125","DEMENTIA","CONSTRUCT","NEUROCOGNITIVE DISORDER AFFECTING MEMORY AND COGNITIVE FUNCTION",10,1,0.1
"1388","36265125","STROKE","CONSTRUCT","ACUTE NEUROLOGICAL EVENT CAUSED BY DISRUPTED BLOOD FLOW TO THE BRAIN",10,1,0.1
"1389","36265125","AUTOIMMUNE DISEASE","CONSTRUCT","DISORDERS WHERE THE IMMUNE SYSTEM ATTACKS HEALTHY TISSUES",10,2,0.2
"1390","36265125","PSYCHOTIC DISORDERS","CONSTRUCT","SEVERE MENTAL DISORDERS AFFECTING THOUGHTS, EMOTIONS, AND PERCEPTIONS",10,1,0.1
"1391","36265125","KIDNEY DISEASE","CONSTRUCT","IMPAIRED KIDNEY FUNCTION OR STRUCTURAL DAMAGE",10,1,0.1
"1392","36265125","ALCOHOLISM","CONSTRUCT","ADDICTION TO THE CONSUMPTION OF ALCOHOLIC BEVERAGES",10,1,0.1
"1393","36265125","OBESITY","CONSTRUCT","EXCESS BODY FAT THAT PRESENTS A RISK TO HEALTH",10,1,0.1
"1394","37448423","RACE/ETHNICITY","CONSTRUCT","RACIAL OR ETHNIC BACKGROUND OF THE INDIVIDUAL",10,1,0.1
"1395","37448423","COMORBIDITIES","CONSTRUCT","PRESENCE OF OTHER MEDICAL CONDITIONS ALONGSIDE THE PRIMARY DISEASE",10,1,0.1
"1396","35102219","BLOOD PRESSURE","CONSTRUCT","FORCE OF BLOOD AGAINST THE WALLS OF ARTERIES",10,1,0.1
"1397","35102219","DEMENTIA","CONSTRUCT","PROGRESSIVE DECLINE IN COGNITIVE FUNCTION",10,1,0.1
"1398","33839636","DRUGS","CONSTRUCT",NA,10,1,0.1
"1399","33839636","COMORBIDITIES","CONSTRUCT",NA,10,1,0.1
"1400","33839636","CHARLSON COMORBIDITY INDEX","CONSTRUCT",NA,10,1,0.1
"1401","33839636","MINI-MENTAL STATE EXAMINATION","CONSTRUCT",NA,10,1,0.1
"1402","33839636","BARTHEL INDEX","CONSTRUCT",NA,10,1,0.1
"1403","33839636","PFEIFFER MENTAL STATUS QUESTIONNAIRE","CONSTRUCT",NA,10,1,0.1
"1404","33839636","BLESSED SCALE","CONSTRUCT",NA,10,1,0.1
"1405","33839636","LAWTON AND BRODY SCALE","CONSTRUCT",NA,10,1,0.1
"1406","33839636","HACHINSKY SCALE","CONSTRUCT",NA,10,1,0.1
"1407","33839636","LABORATORY TESTS","CONSTRUCT",NA,10,1,0.1
"1408","33839636","IMAGING TESTS","CONSTRUCT",NA,10,1,0.1
"1409","36092174","WEIGHT","CONSTRUCT","MEASURE OF THE AMOUNT OF MASS OF AN INDIVIDUAL",10,1,0.1
"1410","36092174","COMORBIDITIES","CONSTRUCT","PRESENCE OF ADDITIONAL HEALTH CONDITIONS OR DISEASES ALONGSIDE THE PRIMARY CONDITION",10,1,0.1
"1411","36092174","FRACTURE MECHANISM","CONSTRUCT","TYPE OF FORCE OR EVENT LEADING TO THE PROXIMAL FEMORAL FRACTURE",10,1,0.1
"1412","36092174","FRACTURE LOCATION","CONSTRUCT","SPECIFIC ANATOMICAL SITE OF THE PROXIMAL FEMORAL FRACTURE",10,1,0.1
"1413","36092174","TREATMENT","CONSTRUCT","INTERVENTIONS OR PROCEDURES ADMINISTERED FOR PROXIMAL FEMORAL FRACTURE MANAGEMENT",10,1,0.1
"1414","36092174","NUTRITIONAL STATUS","CONSTRUCT","ASSESSMENT OF THE NUTRITIONAL CONDITION OF THE PATIENTS",10,1,0.1
"1415","33798213","HIGH BLOOD PRESSURE VARIABILITY","CONSTRUCT","VARIABILITY IN SYSTOLIC BLOOD PRESSURE READINGS ACROSS MULTIPLE CLINIC VISITS",10,1,0.1
"1416","33798213","ANTIHYPERTENSIVE THERAPIES","CONSTRUCT","MEDICATIONS USED TO MANAGE HIGH BLOOD PRESSURE",10,1,0.1
"1417","33798213","CHRONIC KIDNEY DISEASE","CONSTRUCT","PROGRESSIVE LOSS OF KIDNEY FUNCTION",10,1,0.1
"1418","33798213","DEMENTIA","CONSTRUCT","NEUROLOGICAL CONDITION AFFECTING MEMORY AND COGNITIVE FUNCTION",10,1,0.1
"1419","33798213","CHRONIC OBSTRUCTIVE PULMONARY DISEASE","CONSTRUCT","PROGRESSIVE LUNG DISEASE AFFECTING BREATHING",10,1,0.1
"1420","33798213","PARKINSON'S DISEASE","CONSTRUCT","NEURODEGENERATIVE DISORDER AFFECTING MOVEMENT",10,1,0.1
"1421","33067992","PRESENCE OF METABOLIC SYNDROME","CONSTRUCT",NA,10,1,0.1
"1422","33067992","SINGLE PARTICIPANT CHARACTERISTICS","CONSTRUCT",NA,10,1,0.1
"1423","33067992","CONSORTIUM TO ESTABLISH A REGISTRY FOR ALZHEIMER'S DISEASE NEUROPSYCHOLOGICAL BATTERY","CONSTRUCT",NA,10,1,0.1
"1424","33767305","MT-SKEW","CONSTRUCT","QUANTIFIES ASYMMETRY OF THE WAVEFORM DISTRIBUTION",10,1,0.1
"1425","33767305","MV-SKEW","CONSTRUCT","QUANTIFIES ASYMMETRY OF THE WAVEFORM DISTRIBUTION",10,1,0.1
"1426","33767305","MT-BOS","CONSTRUCT","INDICATES VARIATION IN MBR DURING SYSTOLIC AND DIASTOLIC PERIODS",10,1,0.1
"1427","33767305","MV-BOS","CONSTRUCT","INDICATES VARIATION IN MBR DURING SYSTOLIC AND DIASTOLIC PERIODS",10,1,0.1
"1428","33767305","MT-BOT","CONSTRUCT","REPRESENTS THE LENGTH OF TIME THE WAVE MAINTAINED MORE THAN HALF OF THE MEAN OF THE MAXIMUM AND MINIMUM MBR DURING A HEARTBEAT",10,1,0.1
"1429","33767305","MV-BOT","CONSTRUCT","REPRESENTS THE LENGTH OF TIME THE WAVE MAINTAINED MORE THAN HALF OF THE MEAN OF THE MAXIMUM AND MINIMUM MBR DURING A HEARTBEAT",10,1,0.1
"1430","36389342","GMV ASSOCIATED WITH PACE","CONSTRUCT","GRAY MATTER VOLUME ASSOCIATED WITH PACE DOMAIN",10,1,0.1
"1431","36389342","GMV ASSOCIATED WITH RHYTHM","CONSTRUCT","GRAY MATTER VOLUME ASSOCIATED WITH RHYTHM DOMAIN",10,1,0.1
"1432","36389342","VASULAR DISEASE","CONSTRUCT","PRESENCE OF VASCULAR DISEASES",10,1,0.1
"1433","30368247","BLOOD PRESSURE","CONSTRUCT","BLOOD PRESSURE",10,1,0.1
"1434","37441712","CADASIL SEVERITY GRADE","CONSTRUCT","SEVERITY GRADING SYSTEM FOR CATEGORIZING CADASIL PHENOTYPE",10,1,0.1
"1435","37441712","CORTICAL THICKNESS","CONSTRUCT","MEASUREMENT OF CORTICAL THICKNESS IN THE BRAIN",10,1,0.1
"1436","37441712","WHITE MATTER HYPERINTENSITY VOLUME","CONSTRUCT","VOLUME OF HYPERINTENSE AREAS IN WHITE MATTER",10,1,0.1
"1437","33655975","BODY MASS INDEX","CONSTRUCT","MEASURE OF BODY FAT BASED ON HEIGHT AND WEIGHT",10,1,0.1
"1438","33655975","COGNITIVE FUNCTION","CONSTRUCT","MENTAL PROCESSES RELATED TO MEMORY, ATTENTION, AND REASONING",10,1,0.1
"1439","33655975","TOTAL FAT MASS","CONSTRUCT","TOTAL AMOUNT OF ADIPOSE TISSUE IN THE BODY",10,1,0.1
"1440","33655975","TRUNK FAT MASS","CONSTRUCT","AMOUNT OF ADIPOSE TISSUE SPECIFICALLY IN THE TRUNK REGION",10,1,0.1
"1441","37830725","PHYSICAL FITNESS","CONSTRUCT","LEVEL OF PHYSICAL ABILITIES AND OVERALL FITNESS",10,1,0.1
"1442","37830725","CENTRAL FAT","CONSTRUCT","ACCUMULATION OF FAT IN CENTRAL REGIONS OF THE BODY",10,1,0.1
"1443","37830725","HYPERGLYCEMIA","CONSTRUCT","HIGH BLOOD SUGAR LEVELS",10,1,0.1
"1444","37830725","QUALITY OF LIFE","CONSTRUCT","OVERALL WELL-BEING AND LIFE SATISFACTION",10,1,0.1
"1445","37698858","SEX","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,1,0.1
"1446","37698858","RACE","CONSTRUCT","SELF-IDENTIFIED RACIAL GROUP OF THE INDIVIDUAL",10,1,0.1
"1447","37698858","DEMENTIA","CONSTRUCT","NEUROCOGNITIVE DISORDER AFFECTING MEMORY AND OTHER COGNITIVE FUNCTIONS",10,1,0.1
"1448","38229871","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,1,0.1
"1449","38229871","GENDER","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,1,0.1
"1450","38229871","EDUCATION","CONSTRUCT","LEVEL OF FORMAL EDUCATION COMPLETED",10,1,0.1
"1451","38229871","HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,1,0.1
"1452","38229871","DIABETES MELLITUS","CONSTRUCT","METABOLIC DISORDER CHARACTERIZED BY HIGH BLOOD SUGAR LEVELS",10,1,0.1
"1453","38229871","ALCOHOLISM","CONSTRUCT","ADDICTION TO THE CONSUMPTION OF ALCOHOLIC BEVERAGES",10,1,0.1
"1454","38229871","OBESITY","CONSTRUCT","EXCESS BODY FAT THAT PRESENTS A RISK TO HEALTH",10,1,0.1
"1455","38229871","ETHNICITY","CONSTRUCT","SELF-IDENTIFIED GROUP BASED ON SHARED CULTURAL TRAITS OR NATIONAL ORIGIN",10,1,0.1
"1456","38229871","RISK OF HEART FAILURE","CONSTRUCT","LIKELIHOOD OF DEVELOPING HEART FAILURE",10,1,0.1
"1457","31617930","AAO OF AD","CONSTRUCT","AGE AT SYMPTOMATIC ONSET OF ALZHEIMER DISEASE",10,1,0.1
"1458","31617930","APOE Ε4 ALLELE STATUS","CONSTRUCT","PRESENCE OF THE APOE Ε4 ALLELE",10,1,0.1
"1459","31617930","PARENTAL HISTORY OF DEMENTIA","CONSTRUCT","HISTORY OF DEMENTIA IN THE PARENT(S)",10,1,0.1
"1460","31617930","HISTORY OF HYPERTENSION","CONSTRUCT","PAST DIAGNOSIS OF HYPERTENSION",10,1,0.1
"1461","31617930","TRAUMATIC BRAIN INJURY","CONSTRUCT","HISTORY OF TRAUMATIC BRAIN INJURY",10,1,0.1
"1462","31617930","TOBACCO USE","CONSTRUCT","HISTORY OF TOBACCO USE",10,1,0.1
"1463","31617930","UNHEALTHY ALCOHOL USE","CONSTRUCT","PATTERN OF EXCESSIVE OR HARMFUL ALCOHOL CONSUMPTION",10,1,0.1
"1464","31617930","RETROSPECTIVE DETERMINATION OF AAO","CONSTRUCT","ASSESSMENT OF AGE AT SYMPTOMATIC ONSET DETERMINED RETROSPECTIVELY",10,1,0.1
"1465","31617930","ETHNICITY/RACE","CONSTRUCT","SELF-IDENTIFIED GROUP BASED ON CULTURAL TRAITS OR NATIONAL ORIGIN",10,1,0.1
"1466","29574441","BRAIN ATROPHY","CONSTRUCT","REDUCTION IN BRAIN TISSUE VOLUME OVER TIME",10,1,0.1
"1467","29574441","ALZHEIMER'S DISEASE","CONSTRUCT","NEURODEGENERATIVE DISORDER LEADING TO COGNITIVE DECLINE",10,1,0.1
"1468","29574441","INSULIN SENSITIVITY","CONSTRUCT","BODY'S RESPONSE TO INSULIN FOR GLUCOSE REGULATION",10,1,0.1
"1469","37203319","ARTEIAL HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,1,0.1
"1470","37203319","CHRONIC RENAL FAILURE","CONSTRUCT","LONG-TERM IMPAIRMENT OF KIDNEY FUNCTION",10,1,0.1
"1471","37203319","DEMENTIA","CONSTRUCT","NEUROLOGICAL DISORDER CHARACTERIZED BY COGNITIVE DECLINE",10,1,0.1
"1472","37203319","CHRONIC OBSTRUCTIVE PULMONARY DISEASE","CONSTRUCT","PROGRESSIVE LUNG DISEASE THAT OBSTRUCTS AIRFLOW",10,1,0.1
"1473","37203319","HEART FAILURE","CONSTRUCT","CONDITION WHERE THE HEART IS UNABLE TO PUMP ENOUGH BLOOD",10,1,0.1
"1474","37203319","PRIOR STROKE","CONSTRUCT","PREVIOUS OCCURRENCE OF A STROKE",10,1,0.1
"1475","37203319","CHARLSON INDEX","CONSTRUCT","COMORBIDITY SCORE TO PREDICT MORTALITY",10,1,0.1
"1476","37203319","COVID-19 EPIDEMIOLOGICAL WAVE","CONSTRUCT","IDENTIFICATION OF DISTINCT COVID-19 EPIDEMIC PERIODS",10,1,0.1
"1477","30180830","GRIP STRENGTH","CONSTRUCT","MEASUREMENT OF HAND GRIP STRENGTH",10,1,0.1
"1478","30180830","WALKING SPEED","CONSTRUCT","SPEED AT WHICH AN INDIVIDUAL WALKS OVER 6 METERS",10,1,0.1
"1479","30180830","APOE Ε4 STATUS","CONSTRUCT","GENETIC STATUS RELATED TO APOLIPOPROTEIN E",10,1,0.1
"1480","30180830","HEIGHT","CONSTRUCT","MEASUREMENT OF VERTICAL STATURE",10,1,0.1
"1481","30180830","SMOKING STATUS","CONSTRUCT","SMOKING HABIT OF THE INDIVIDUAL",10,1,0.1
"1482","30180830","HISTORY OF CARDIOVASCULAR OR CEREBROVASCULAR DISEASE","CONSTRUCT","PREVIOUS MEDICAL HISTORY OF HEART OR BRAIN VESSEL DISEASES",10,1,0.1
"1483","30180830","HISTORY OF HYPERTENSION","CONSTRUCT","PAST MEDICAL DIAGNOSIS OF HIGH BLOOD PRESSURE",10,1,0.1
"1484","30180830","HISTORY OF DIABETES","CONSTRUCT","PREVIOUS MEDICAL DIAGNOSIS OF DIABETES MELLITUS",10,1,0.1
"1485","34176293","GLOBAL COGNITION","CONSTRUCT","OVERALL COGNITIVE ABILITIES",10,1,0.1
"1486","34176293","PROCESSING SPEED AND ATTENTION","CONSTRUCT","SPEED AND ACCURACY IN PROCESSING INFORMATION",10,1,0.1
"1487","37711969","BLOOD PRESSURE VARIABILITY","CONSTRUCT","VARIABILITY IN BLOOD PRESSURE MEASUREMENTS OVER TIME",10,1,0.1
"1488","37711969","COGNITIVE FUNCTIONING","CONSTRUCT","MENTAL PROCESSES RELATED TO KNOWLEDGE, MEMORY, AND PROBLEM-SOLVING",10,1,0.1
"1489","37711969","ARTERIAL STIFFNESS","CONSTRUCT","STIFFNESS OF ARTERIAL WALLS AFFECTING BLOOD FLOW",10,1,0.1
"1490","35533660","SCD-RELATED WORRY","CONSTRUCT","WORRY OR CONCERN RELATED TO SUBJECTIVE COGNITIVE DECLINE",10,1,0.1
"1491","35533660","VISION PROBLEMS","CONSTRUCT","ANY IMPAIRMENT OR ISSUE RELATED TO VISION",10,1,0.1
"1492","35533660","PERCEIVED SOCIAL STATUS","CONSTRUCT","INDIVIDUAL'S SUBJECTIVE PERCEPTION OF THEIR SOCIAL STANDING OR RANK",10,1,0.1
"1493","35533660","GENDER","CONSTRUCT","BIOLOGICAL CLASSIFICATION OF AN INDIVIDUAL AS MALE, FEMALE, OR OTHER",10,1,0.1
"1494","35533660","SEXUALITY","CONSTRUCT","SEXUAL ORIENTATION OR PREFERENCES OF AN INDIVIDUAL",10,1,0.1
"1495","35533660","ETHNICITY","CONSTRUCT","CULTURAL IDENTITY OR ETHNIC ORIGIN OF AN INDIVIDUAL",10,1,0.1
"1496","35533660","RISK OF HEART FAILURE","CONSTRUCT","LIKELIHOOD OF DEVELOPING HEART FAILURE",10,1,0.1
"1497","34872609","BODY HEIGHT","CONSTRUCT","PHYSICAL HEIGHT OF AN INDIVIDUAL",10,1,0.1
"1498","34872609","SMOKING STATUS","CONSTRUCT","CURRENT OR PAST SMOKING BEHAVIOR",10,1,0.1
"1499","34872609","DRINKING STATUS","CONSTRUCT","CURRENT OR PAST ALCOHOL CONSUMPTION BEHAVIOR",10,1,0.1
"1500","38443972","CARDIOMETABOLIC DISORDERS","CONSTRUCT","GROUP OF DISORDERS INCLUDING DIABETES, HYPERTENSION, AND HYPERLIPIDEMIA",10,1,0.1
"1501","38443972","SMOKING","CONSTRUCT","HABITUAL CONSUMPTION OF TOBACCO OR OTHER SUBSTANCES THROUGH SMOKING",10,1,0.1
"1502","38443972","INCOME","CONSTRUCT","FINANCIAL RESOURCES AVAILABLE TO THE INDIVIDUAL",10,1,0.1
"1503","38443972","PHYSICAL ACTIVITY","CONSTRUCT","LEVEL OF PHYSICAL MOVEMENT OR EXERCISE ENGAGED IN BY THE INDIVIDUAL",10,1,0.1
"1504","38443972","DEMENTIA","CONSTRUCT","NEUROLOGICAL CONDITION CHARACTERIZED BY IMPAIRED COGNITIVE FUNCTION",10,1,0.1
"1505","38443972","DEPRESSED MOOD","CONSTRUCT","STATE OF PROLONGED SADNESS OR LOSS OF INTEREST IN ACTIVITIES",10,1,0.1
"1506","37079031","RETINAL THICKNESS","CONSTRUCT","MEASUREMENT OF RETINAL THICKNESS USING OPTICAL COHERENCE TOMOGRAPHY",10,1,0.1
"1507","37079031","GLOBAL COGNITION","CONSTRUCT","OVERALL COGNITIVE FUNCTION SCORE",10,1,0.1
"1508","37079031","INNER NUCLEAR LAYER","CONSTRUCT","LAYER OF CELLS IN THE INNER RETINA",10,1,0.1
"1509","37079031","MACULAR THICKNESS","CONSTRUCT","THICKNESS MEASUREMENT OF THE MACULA REGION IN THE EYE",10,1,0.1
"1510","37079031","DISEASE DURATION","CONSTRUCT","TIME ELAPSED SINCE DIAGNOSIS OF HUNTINGTON'S DISEASE",10,1,0.1
"1511","37079031","MOTOR STATUS","CONSTRUCT","ASSESSMENT OF MOTOR FUNCTION IN HUNTINGTON'S DISEASE PATIENTS",10,1,0.1
"1512","36265125","PULMONARY DISEASE","CONSTRUCT","MEDICAL CONDITION AFFECTING THE LUNGS AND RESPIRATORY SYSTEM",10,1,0.1
"1513","36265125","STROKE","CONSTRUCT","ACUTE CEREBROVASCULAR EVENT RESULTING IN BRAIN DAMAGE",10,1,0.1
"1514","36265125","CARDIOVASCULAR DISEASE","CONSTRUCT","MEDICAL CONDITIONS AFFECTING THE HEART AND BLOOD VESSELS",10,1,0.1
"1515","36265125","HYPERLIPIDEMIA","CONSTRUCT","HIGHER THAN NORMAL LEVELS OF LIPIDS IN THE BLOOD",10,1,0.1
"1516","36265125","CANCER","CONSTRUCT","ABNORMAL CELL GROWTH LEADING TO TUMOR FORMATION",10,1,0.1
"1517","36265125","KIDNEY DISEASE","CONSTRUCT","IMPAIRED KIDNEY FUNCTION RESULTING IN WASTE BUILDUP",10,1,0.1
"1518","36265125","HYPERTENSION","CONSTRUCT","CHRONIC HIGH BLOOD PRESSURE CONDITION",10,1,0.1
"1519","36265125","PSYCHOTIC DISORDERS","CONSTRUCT","MENTAL DISORDERS CHARACTERIZED BY A LOSS OF CONTACT WITH REALITY",10,1,0.1
"1520","37448423","HIP FRACTURE","CONSTRUCT","FRACTURE OF THE PROXIMAL FEMUR",10,1,0.1
"1521","37448423","ALCOHOL USE","CONSTRUCT","CONSUMPTION OF ALCOHOLIC BEVERAGES",10,1,0.1
"1522","37448423","MORTALITY","CONSTRUCT","DEATH OF A PATIENT",10,1,0.1
"1523","35102219","BLOOD PRESSURE","VARIABLE_CONCEPT_CATEGORY","PHYSIOLOGICAL MEASUREMENTS",10,2,0.2
"1524","35102219","DEMENTIA","VARIABLE_CONCEPT_CATEGORY","NEUROLOGY",10,1,0.1
"1525","33839636","AGE","VARIABLE_CONCEPT_CATEGORY",NA,10,7,0.7
"1526","33839636","GENDER","VARIABLE_CONCEPT_CATEGORY",NA,10,6,0.6
"1527","33839636","EDUCATION","VARIABLE_CONCEPT_CATEGORY",NA,10,4,0.4
"1528","33839636","HYPERTENSION","VARIABLE_CONCEPT_CATEGORY",NA,10,9,0.9
"1529","33839636","DIABETES MELLITUS","VARIABLE_CONCEPT_CATEGORY",NA,10,4,0.4
"1530","33839636","ALCOHOLISM","VARIABLE_CONCEPT_CATEGORY",NA,10,4,0.4
"1531","33839636","OBESITY","VARIABLE_CONCEPT_CATEGORY",NA,10,4,0.4
"1532","33839636","ETHNICITY","VARIABLE_CONCEPT_CATEGORY",NA,10,5,0.5
"1533","33839636","VITAMIN D DEFICIENCY","VARIABLE_CONCEPT_CATEGORY",NA,10,2,0.2
"1534","33839636","RISK OF HEART FAILURE","VARIABLE_CONCEPT_CATEGORY",NA,10,4,0.4
"1535","34611033","AGE","VARIABLE_CONCEPT_CATEGORY","DEMOGRAPHICS",10,9,0.9
"1536","34611033","GENDER","VARIABLE_CONCEPT_CATEGORY","DEMOGRAPHICS",10,9,0.9
"1537","34611033","HYPERTENSION","VARIABLE_CONCEPT_CATEGORY","UNDERLYING HEALTH",10,9,0.9
"1538","34611033","DIABETES MELLITUS","VARIABLE_CONCEPT_CATEGORY","UNDERLYING HEALTH",10,8,0.8
"1539","34611033","ALCOHOLISM","VARIABLE_CONCEPT_CATEGORY","LIFESTYLE",10,7,0.7
"1540","34611033","OBESITY","VARIABLE_CONCEPT_CATEGORY","UNDERLYING HEALTH",10,8,0.8
"1541","34611033","ETHNICITY","VARIABLE_CONCEPT_CATEGORY","DEMOGRAPHICS",10,8,0.8
"1542","34611033","RISK OF HEART FAILURE","VARIABLE_CONCEPT_CATEGORY","CLINICAL OUTCOME",10,8,0.8
"1543","33126696","DEPRESSION","VARIABLE_CONCEPT_CATEGORY","MENTAL HEALTH",10,6,0.6
"1544","33126696","DYSLIPIDEMIA","VARIABLE_CONCEPT_CATEGORY","CARDIOVASCULAR HEALTH",10,6,0.6
"1545","33126696","TYPE 2 DIABETES MELLITUS","VARIABLE_CONCEPT_CATEGORY","METABOLIC HEALTH",10,4,0.4
"1546","33126696","HYPERTENSION","VARIABLE_CONCEPT_CATEGORY","CARDIOVASCULAR HEALTH",10,6,0.6
"1547","36092174","AGE","VARIABLE_CONCEPT_CATEGORY","DEMOGRAPHICS",10,10,1
"1548","36092174","GENDER","VARIABLE_CONCEPT_CATEGORY","DEMOGRAPHICS",10,10,1
"1549","36092174","ETHNICITY","VARIABLE_CONCEPT_CATEGORY","DEMOGRAPHICS",10,10,1
"1550","36092174","WEIGHT AND HEIGHT","VARIABLE_CONCEPT_CATEGORY","ANTHROPOMETRICS",10,2,0.2
"1551","36092174","PRESENCE OF COMORBIDITIES","VARIABLE_CONCEPT_CATEGORY","MEDICAL HISTORY",10,1,0.1
"1552","36092174","TRAUMA MECHANISM","VARIABLE_CONCEPT_CATEGORY","INJURY",10,1,0.1
"1553","36092174","ANATOMICAL LOCATION","VARIABLE_CONCEPT_CATEGORY","ANATOMY",10,2,0.2
"1554","36092174","TREATMENT","VARIABLE_CONCEPT_CATEGORY","TREATMENT",10,1,0.1
"1555","36092174","MINI NUTRITIONAL ASSESSMENT","VARIABLE_CONCEPT_CATEGORY","NUTRITION",10,2,0.2
"1556","33798213","BLOOD PRESSURE VARIABILITY","VARIABLE_CONCEPT_CATEGORY","CLINICAL OUTCOME",10,2,0.2
"1557","33798213","HYPERTENSION","VARIABLE_CONCEPT_CATEGORY","UNDERLYING HEALTH",10,7,0.7
