"","pmid","annotator_id","characteristic","class","explanation","categories","counts","percentages"
"1033","33655975","RGL1303","Education Level","Other","Educational background of participants.","7-12 years","897","37.6%"
"1034","33655975","RGL1303","Education Level","Other","Educational background of participants.","Over 13 years","477","20.0%"
"1035","33655975","RGL1303","Prevalence of Diabetes","Health-Related","Distribution of participants with and without diabetes.","With Diabetes","530","22.2%"
"1036","33655975","RGL1303","Prevalence of Diabetes","Health-Related","Distribution of participants with and without diabetes.","Without Diabetes","1856","77.8%"
"1037","33655975","RGL1303","Prevalence of Hypertension","Health-Related","Distribution of participants with and without hypertension.","With Hypertension","1351","56.6%"
"1038","33655975","RGL1303","Prevalence of Hypertension","Health-Related","Distribution of participants with and without hypertension.","Without Hypertension","1035","43.4%"
"1039","37830725","QJU2806","Sample Size","Other","The total number of participants in the study.","21","21","100%"
"1040","37830725","QJU2806","Age","Demographic","The distribution of age groups among participants.","42.81 ± 10.99 years old",NA,NA
"1041","37830725","QJU2806","Gender","Demographic","The distribution of male and female participants.",NA,NA,NA
"1042","37830725","QJU2806","Geographic Location","Geographic","The distribution of participants by their location.","Coimbra, Portugal",NA,NA
"1043","37830725","QJU2806","Employment Status","Other","The employment status of the participants.",NA,NA,NA
"1044","37698858","BQN5928","Age","Demographic","The age distribution of participants in the study.","60-110",NA,NA
"1045","37698858","BQN5928","Gender","Demographic","The distribution of male and female participants.","Male",NA,"58.4%"
"1046","37698858","BQN5928","Gender","Demographic","The distribution of male and female participants.","Female",NA,"41.6%"
"1047","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","US",NA,NA
"1048","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Brazil",NA,NA
"1049","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Australia",NA,NA
"1050","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","China",NA,NA
"1051","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Korea",NA,NA
"1052","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Singapore",NA,NA
"1053","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Central African Republic",NA,NA
"1054","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Republic of Congo",NA,NA
"1055","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Nigeria",NA,NA
"1056","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Germany",NA,NA
"1057","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Spain",NA,NA
"1058","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Italy",NA,NA
"1059","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","France",NA,NA
"1060","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Sweden",NA,NA
"1061","37698858","BQN5928","Geographic Distribution","Geographic","The distribution of participants by country.","Greece",NA,NA
"1062","37698858","BQN5928","Prevalence of Hypertension","Health-Related","The distribution of participants based on hypertension status and antihypertensive use.","Healthy Controls",NA,NA
"1063","37698858","BQN5928","Prevalence of Hypertension","Health-Related","The distribution of participants based on hypertension status and antihypertensive use.","Treated Hypertension",NA,NA
"1064","37698858","BQN5928","Prevalence of Hypertension","Health-Related","The distribution of participants based on hypertension status and antihypertensive use.","Untreated Hypertension",NA,NA
"1065","38229871","DRE6813","Sociodemographic","Demographic","Distribution of participants based on various sociodemographic factors.",NA,NA,NA
"1066","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Dementia",NA,NA
"1067","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Heart Failure",NA,NA
"1068","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Kidney Disease",NA,NA
"1069","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Cancer",NA,NA
"1070","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Arterial Hypertension",NA,NA
"1071","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Diabetes",NA,NA
"1072","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Ischemic Heart Disease",NA,NA
"1073","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Cerebrovascular Disease",NA,NA
"1074","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Peripheral Vascular Disease",NA,NA
"1075","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Leukemia",NA,NA
"1076","38229871","DRE6813","Basal Comorbidities","Health-Related","Prevalence of different comorbidities among participants.","Dyslipidemia",NA,NA
"1077","31617930","MHN3825","Age","Demographic","The distribution of age among study participants.","70-79","164","100%"
"1078","31617930","MHN3825","Gender","Demographic","The distribution of male and female participants.","Male","74","45.1%"
"1079","31617930","MHN3825","Gender","Demographic","The distribution of male and female participants.","Female","90","54.9%"
"1080","31617930","MHN3825","Race/Ethnicity","Demographic","The ethnic and racial background of study participants.","Non-Hispanic White","144","87.8%"
"1081","31617930","MHN3825","Race/Ethnicity","Demographic","The ethnic and racial background of study participants.","African American","19","11.6%"
"1082","31617930","MHN3825","Race/Ethnicity","Demographic","The ethnic and racial background of study participants.","Asian","1","0.6%"
"1083","31617930","MHN3825","Parental History of Dementia","Health-Related","The reported history of dementia in parents of study participants.","Maternal","108","65.8%"
"1084","31617930","MHN3825","Parental History of Dementia","Health-Related","The reported history of dementia in parents of study participants.","Paternal","35","21.3%"
"1085","31617930","MHN3825","Parental History of Dementia","Health-Related","The reported history of dementia in parents of study participants.","Both Parents","21","12.8%"
"1086","31617930","MHN3825","Education","Demographic","The level of education attained by study participants.",NA,NA,NA
"1087","29574441","ESF8253","Participants","Demographic","Characteristics of participants in the study.","Age","Mean (SD)",NA
"1088","29574441","ESF8253","Participants","Demographic","Characteristics of participants in the study.","Sex","%",NA
"1089","29574441","ESF8253","Participants","Demographic","Characteristics of participants in the study.","Education","Mean (SD)",NA
"1090","29574441","ESF8253","Participants","Demographic","Characteristics of participants in the study.","Family History of LOAD","%",NA
"1091","29574441","ESF8253","Participants","Demographic","Characteristics of participants in the study.","APOE ε4 carriers","%",NA
"1092","29574441","ESF8253","Participants","Demographic","Characteristics of participants in the study.","Ethnicity","%",NA
"1093","29574441","ESF8253","Participants","Demographic","Characteristics of participants in the study.","Subjective complaints","%",NA
"1094","29574441","ESF8253","Participants","Demographic","Characteristics of participants in the study.","Laboratory findings","Mean (SD)",NA
"1095","29574441","ESF8253","Cognitive Measures","Other","Cognitive tests used in the study.","Memory",NA,NA
"1096","29574441","ESF8253","Cognitive Measures","Other","Cognitive tests used in the study.","Executive function",NA,NA
"1097","29574441","ESF8253","Cognitive Measures","Other","Cognitive tests used in the study.","Language",NA,NA
"1098","29574441","ESF8253","Vascular Risk Measures","Health-Related","Vascular risk factors included in the model.","Overweight",NA,NA
"1099","29574441","ESF8253","Vascular Risk Measures","Health-Related","Vascular risk factors included in the model.","Hypertension",NA,NA
"1100","29574441","ESF8253","Vascular Risk Measures","Health-Related","Vascular risk factors included in the model.","Elevated plasma cholesterol and/or elevated plasma homocysteine",NA,NA
"1101","29574441","ESF8253","Vascular Risk Measures","Health-Related","Vascular risk factors included in the model.","Insulin sensitivity",NA,NA
"1102","29574441","ESF8253","Lifestyle Measures","Other","Different lifestyle measures included in the study.","Diet",NA,NA
"1103","29574441","ESF8253","Lifestyle Measures","Other","Different lifestyle measures included in the study.","Physical activity",NA,NA
"1104","29574441","ESF8253","Lifestyle Measures","Other","Different lifestyle measures included in the study.","Intellectual enrichment",NA,NA
"1105","37203319","VJI5008","Age","Demographic","Distribution of age among COVID-19 patients admitted to Hospital de Barbastro.","<50",NA,"NA"
"1106","37203319","VJI5008","Age","Demographic","Distribution of age among COVID-19 patients admitted to Hospital de Barbastro.","50-59",NA,"NA"
"1107","37203319","VJI5008","Age","Demographic","Distribution of age among COVID-19 patients admitted to Hospital de Barbastro.","60-69","156","17.2%"
"1108","37203319","VJI5008","Age","Demographic","Distribution of age among COVID-19 patients admitted to Hospital de Barbastro.","70-79","309","34%"
"1109","37203319","VJI5008","Age","Demographic","Distribution of age among COVID-19 patients admitted to Hospital de Barbastro.","≥80","443","48.8%"
"1110","37203319","VJI5008","Gender","Demographic","Distribution of males and females among COVID-19 patients admitted to Hospital de Barbastro.","Male","520","57.2%"
"1111","37203319","VJI5008","Gender","Demographic","Distribution of males and females among COVID-19 patients admitted to Hospital de Barbastro.","Female","388","42.8%"
"1112","37203319","VJI5008","Prevalence of Arterial Hypertension","Health-Related","Distribution of COVID-19 patients with and without arterial hypertension.","With Arterial Hypertension","322","35.5%"
"1113","37203319","VJI5008","Prevalence of Arterial Hypertension","Health-Related","Distribution of COVID-19 patients with and without arterial hypertension.","Without Arterial Hypertension","586","64.5%"
"1114","37203319","VJI5008","Prevalence of Chronic Renal Failure","Health-Related","Distribution of COVID-19 patients with and without chronic renal failure.","With Chronic Renal Failure","125","13.8%"
"1115","37203319","VJI5008","Prevalence of Chronic Renal Failure","Health-Related","Distribution of COVID-19 patients with and without chronic renal failure.","Without Chronic Renal Failure","783","86.2%"
"1116","37203319","VJI5008","Prevalence of Dementia","Health-Related","Distribution of COVID-19 patients with and without dementia.","With Dementia",NA,NA
"1117","37203319","VJI5008","Prevalence of Dementia","Health-Related","Distribution of COVID-19 patients with and without dementia.","Without Dementia",NA,NA
"1118","37203319","VJI5008","Prevalence of Chronic Obstructive Pulmonary Disease (COPD)","Health-Related","Distribution of COVID-19 patients with and without COPD.","With COPD","117","12.9%"
"1119","37203319","VJI5008","Prevalence of Chronic Obstructive Pulmonary Disease (COPD)","Health-Related","Distribution of COVID-19 patients with and without COPD.","Without COPD","791","87.1%"
"1120","37203319","VJI5008","Prevalence of Heart Failure","Health-Related","Distribution of COVID-19 patients with and without heart failure.","With Heart Failure",NA,NA
"1121","37203319","VJI5008","Prevalence of Heart Failure","Health-Related","Distribution of COVID-19 patients with and without heart failure.","Without Heart Failure",NA,NA
"1122","37203319","VJI5008","Prevalence of Prior Stroke","Health-Related","Distribution of COVID-19 patients with and without prior stroke.","With Prior Stroke",NA,NA
"1123","37203319","VJI5008","Prevalence of Prior Stroke","Health-Related","Distribution of COVID-19 patients with and without prior stroke.","Without Prior Stroke",NA,NA
"1124","37203319","VJI5008","Charlson Index","Other","Distribution of COVID-19 patients based on Charlson index scores.","<3","499","54.9%"
"1125","37203319","VJI5008","Charlson Index","Other","Distribution of COVID-19 patients based on Charlson index scores.","3-4","289","31.9%"
"1126","37203319","VJI5008","Charlson Index","Other","Distribution of COVID-19 patients based on Charlson index scores.","≥5","120","13.2%"
"1127","37203319","VJI5008","Epidemiological Waves","Other","Distribution of COVID-19 patients across different epidemiological waves.","Wave 1",NA,"NA"
"1128","37203319","VJI5008","Epidemiological Waves","Other","Distribution of COVID-19 patients across different epidemiological waves.","Wave 2","280","30.8%"
"1129","37203319","VJI5008","Epidemiological Waves","Other","Distribution of COVID-19 patients across different epidemiological waves.","Wave 3","123","13.5%"
"1130","37203319","VJI5008","Epidemiological Waves","Other","Distribution of COVID-19 patients across different epidemiological waves.","Wave 4","171","18.8%"
"1131","37203319","VJI5008","Epidemiological Waves","Other","Distribution of COVID-19 patients across different epidemiological waves.","Wave 5","98","10.8%"
"1132","37203319","VJI5008","Epidemiological Waves","Other","Distribution of COVID-19 patients across different epidemiological waves.","Wave 6","174","19.1%"
"1133","37203319","VJI5008","Epidemiological Waves","Other","Distribution of COVID-19 patients across different epidemiological waves.","Wave 7","62","6.8%"
"1134","37203319","VJI5008","Glucocorticoid Treatment","Other","Distribution of COVID-19 patients based on receiving glucocorticoid treatment.","Received",NA,NA
"1135","37203319","VJI5008","Glucocorticoid Treatment","Other","Distribution of COVID-19 patients based on receiving glucocorticoid treatment.","Not Received",NA,NA
"1136","30180830","SWA6144","Age","Demographic","The distribution of age among the study participants.","79","488","100%"
"1137","30180830","SWA6144","Gender","Demographic","The distribution of male and female participants.","Male","209","42.8%"
"1138","30180830","SWA6144","Gender","Demographic","The distribution of male and female participants.","Female","280","57.2%"
"1139","30180830","SWA6144","MMSE Score at Baseline","Other","The distribution of participants based on Mini Mental State Examination scores at baseline.","<24","9","1.8%"
"1140","30180830","SWA6144","MMSE Score at Baseline","Other","The distribution of participants based on Mini Mental State Examination scores at baseline.",">=24","479","98.2%"
"1141","30180830","SWA6144","Living or Deceased","Demographic","The status of participants in terms of being deceased or alive.","Deceased","419","85.9%"
"1142","30180830","SWA6144","Living or Deceased","Demographic","The status of participants in terms of being deceased or alive.","Living","69","14.1%"
"1143","30180830","SWA6144","Height","Demographic","The distribution of participants' heights in centimeters.",NA,NA,NA
"1144","30180830","SWA6144","APOE ε4 Carrier Status","Other","The distribution of participants based on APOE ε4 carrier status.","Carrier","41","8.4%"
"1145","30180830","SWA6144","APOE ε4 Carrier Status","Other","The distribution of participants based on APOE ε4 carrier status.","Non-Carrier","447","91.6%"
"1146","30180830","SWA6144","Age 11 IQ","Other","The distribution of participants' IQ scores at age 11.",NA,NA,NA
"1147","30180830","SWA6144","FEV1","Health-Related","The distribution of forced expiratory volume in 1 second (FEV1) values in liters per second.",NA,NA,NA
"1148","30180830","SWA6144","Grip Strength","Health-Related","The distribution of participants' grip strength values in kilograms.",NA,NA,NA
"1149","30180830","SWA6144","6 m Walk Time","Health-Related","The distribution of participants' time to walk 6 meters in seconds.",NA,NA,NA
"1150","30180830","SWA6144","Smoking Status","Other","The distribution of participants based on smoking status.","Ever Smoker","51","10.5%"
"1151","30180830","SWA6144","Smoking Status","Other","The distribution of participants based on smoking status.","Never Smoker","437","89.5%"
"1152","30180830","SWA6144","History of Cardiovascular or Cerebrovascular Disease","Other","The distribution of participants with a history of cardiovascular or cerebrovascular disease.","Positive History","32","6.6%"
"1153","30180830","SWA6144","History of Hypertension","Other","The distribution of participants with a history of hypertension.","Positive History","67","13.7%"
"1154","30180830","SWA6144","History of Diabetes","Other","The distribution of participants with a history of diabetes.","Positive History","11","2.3%"
"1155","36699985","YKT5701","Age","Demographic","Distribution of age groups among the study participants.",NA,NA,NA
"1156","36699985","YKT5701","Gender","Demographic","Distribution of male and female participants in the study.",NA,NA,NA
"1157","36699985","YKT5701","Region","Geographic","Geographic distribution of study participants.",NA,NA,NA
"1158","36699985","YKT5701","Prevalence of Diabetes","Health-Related","Distribution of participants with and without a diagnosis of diabetes.",NA,NA,NA
"1159","36699985","YKT5701","Employment Status","Other","Employment status of participants in the study.",NA,NA,NA
"1160","36699985","YKT5701","Prevalence of Hypertension","Health-Related","Distribution of participants with and without a diagnosis of hypertension.",NA,NA,NA
"1161","34176293","TQN9185","Participants","Demographic","The total number of participants in the ASPREE trial.","N=19 114","N=19 114","100%"
"1162","34176293","TQN9185","Sex","Demographic","The distribution of male and female participants.","Men",NA,NA
"1163","34176293","TQN9185","Sex","Demographic","The distribution of male and female participants.","Women",NA,NA
"1164","37711969","VLS4364","Age","Demographic","The age range of the study participants.","60-80","70","100%"
"1165","37711969","VLS4364","Gender","Demographic","The distribution of male and female participants.","Male",NA,NA
"1166","37711969","VLS4364","Gender","Demographic","The distribution of male and female participants.","Female",NA,NA
"1167","35897033","YBE2919","Gender","Demographic","The distribution of male and female participants.","Male","112","44.6%"
"1168","35897033","YBE2919","Gender","Demographic","The distribution of male and female participants.","Female","139","55.4%"
"1169","35897033","YBE2919","Age","Demographic","The distribution of age among the study participants.","Under 65 years","134","53.4%"
"1170","35897033","YBE2919","Age","Demographic","The distribution of age among the study participants.","65 years and older","117","46.6%"
"1171","35897033","YBE2919","Years of Diabetes Mellitus (DM) Duration","Other","The duration of DM among the participants.","Less than 10 years","189","75.3%"
"1172","35897033","YBE2919","Years of Diabetes Mellitus (DM) Duration","Other","The duration of DM among the participants.","10 years or more","62","24.7%"
"1173","35897033","YBE2919","Schooling Level","Other","The level of education among the participants.","More than 6 years","183","73.3%"
"1174","35897033","YBE2919","Schooling Level","Other","The level of education among the participants.","6 years or less","68","26.7%"
"1175","35897033","YBE2919","Follow-up Duration","Other","The duration of the follow-up period.","Less than 18 months","117","46.6%"
"1176","35897033","YBE2919","Follow-up Duration","Other","The duration of the follow-up period.","18 months or more","134","53.4%"
"1177","35897033","YBE2919","Risk Factors Identified","Other","Risk factors associated with cognitive decline in the study participants.","Arterial Hypertension",NA,NA
"1178","35897033","YBE2919","Risk Factors Identified","Other","Risk factors associated with cognitive decline in the study participants.","Depression Symptoms",NA,NA
"1179","35897033","YBE2919","Risk Factors Identified","Other","Risk factors associated with cognitive decline in the study participants.","Diabetic Retinopathy (DR)",NA,NA
"1180","35897033","YBE2919","Risk Factors Identified","Other","Risk factors associated with cognitive decline in the study participants.","Cardiovascular Disease (CVD)",NA,NA
"1181","35533660","NSB5634","Age","Demographic","Age distribution of the participants at baseline.","45-54",NA,NA
"1182","35533660","NSB5634","Age","Demographic","Age distribution of the participants at baseline.","55-64",NA,NA
"1183","35533660","NSB5634","Age","Demographic","Age distribution of the participants at baseline.","65-74",NA,NA
"1184","35533660","NSB5634","Age","Demographic","Age distribution of the participants at baseline.","75-85",NA,NA
"1185","35533660","NSB5634","Gender","Demographic","The distribution of male and female participants.","Male",NA,NA
"1186","35533660","NSB5634","Gender","Demographic","The distribution of male and female participants.","Female",NA,NA
"1187","35533660","NSB5634","Region","Geographic","Geographic distribution of the participants.","Canadian Provinces",NA,NA
"1188","35533660","NSB5634","Prevalence of Diabetes","Health-Related","The distribution of participants with and without a diagnosis of diabetes.","With Diabetes",NA,NA
"1189","35533660","NSB5634","Prevalence of Diabetes","Health-Related","The distribution of participants with and without a diagnosis of diabetes.","Without Diabetes",NA,NA
"1190","35533660","NSB5634","Prevalence of Hypertension","Health-Related","The distribution of participants with and without a diagnosis of hypertension.","With Hypertension",NA,NA
"1191","35533660","NSB5634","Prevalence of Hypertension","Health-Related","The distribution of participants with and without a diagnosis of hypertension.","Without Hypertension",NA,NA
"1192","34872609","YMA3760","Age","Demographic","Age distribution of study participants.","60-69",NA,NA
"1193","34872609","YMA3760","Age","Demographic","Age distribution of study participants.","70-79",NA,NA
"1194","34872609","YMA3760","Age","Demographic","Age distribution of study participants.","80+",NA,NA
"1195","34872609","YMA3760","Gender","Demographic","Gender distribution among study participants.","Male",NA,NA
"1196","34872609","YMA3760","Gender","Demographic","Gender distribution among study participants.","Female",NA,NA
"1197","34872609","YMA3760","Geographic Distribution","Geographic","Regional distribution of participants.","Rural areas of Tianjin, China",NA,NA
"1198","34872609","YMA3760","Educational Attainment","Other","Level of education achieved by participants.",NA,NA,NA
"1199","34872609","YMA3760","Smoking Status","Other","Smoking habits of study participants.",NA,NA,NA
"1200","34872609","YMA3760","Drinking Status","Other","Alcohol consumption habits among participants.",NA,NA,NA
"1201","34872609","YMA3760","Presence of Hypertension","Health-Related","Participants with a diagnosis of hypertension.","With Hypertension","15","1.4%"
"1202","34872609","YMA3760","Presence of Hypertension","Health-Related","Participants with a diagnosis of hypertension.","Without Hypertension","1066","98.6%"
"1203","34872609","YMA3760","Presence of Diabetes","Health-Related","Participants with a diagnosis of diabetes.","With Diabetes","15","1.4%"
"1204","34872609","YMA3760","Presence of Diabetes","Health-Related","Participants with a diagnosis of diabetes.","Without Diabetes","1066","98.6%"
"1205","34872609","YMA3760","Presence of Hypercholesterolemia","Health-Related","Participants with a diagnosis of hypercholesterolemia.","With Hypercholesterolemia",NA,NA
"1206","34872609","YMA3760","Presence of Hypercholesterolemia","Health-Related","Participants with a diagnosis of hypercholesterolemia.","Without Hypercholesterolemia",NA,NA
"1207","38443972","WMT6025","Age","Demographic","The distribution of age groups among the study participants.",NA,NA,NA
"1208","38443972","WMT6025","Gender","Demographic","The distribution of male and female participants.",NA,NA,NA
"1209","38443972","WMT6025","Education Level","Demographic","The distribution of participants based on educational attainment.",NA,NA,NA
"1210","38443972","WMT6025","Marital Status","Demographic","The distribution of participants based on marital status.",NA,NA,NA
"1211","37079031","CSD1702","Participants","Demographic","The distribution of participants in the study.","Patients with Huntington's disease (16 premanifest and 20 manifest)","36","50%"
"1212","37079031","CSD1702","Participants","Demographic","The distribution of participants in the study.","Controls","36","50%"
"1213","37079031","CSD1702","Age","Demographic","The distribution of age groups among participants.","Not specified",NA,NA
"1214","37079031","CSD1702","Gender","Demographic","The distribution of gender among participants.","Male","Not specified",NA
"1215","37079031","CSD1702","Gender","Demographic","The distribution of gender among participants.","Female","Not specified",NA
"1216","37079031","CSD1702","Smoking Status","Demographic","The distribution of smoking status among participants.","Not specified",NA,NA
"1217","37079031","CSD1702","Hypertension Status","Health-Related","The distribution of hypertension status among participants.","With Hypertension","Not specified",NA
"1218","37079031","CSD1702","Hypertension Status","Health-Related","The distribution of hypertension status among participants.","Without Hypertension","Not specified",NA
"1219","36265125","HVZ5438","Age","Demographic","The distribution of age groups among the participants.","60 years or older","16.52","16.52%"
"1220","36265125","HVZ5438","Age","Demographic","The distribution of age groups among the participants.","Other ages","2.12","2.12%"
"1221","36265125","HVZ5438","Insurance Status","Other","The distribution of participants based on insurance status.","Medicaid","10.81","10.81%"
"1222","36265125","HVZ5438","Insurance Status","Other","The distribution of participants based on insurance status.","Other insurance","5.61","5.61%"
"1223","36265125","HVZ5438","Disability Status","Other","The distribution of participants with and without disabilities.","With disabilities","18.26","18.26%"
"1224","36265125","HVZ5438","Disability Status","Other","The distribution of participants with and without disabilities.","Without disabilities","5.07","5.07%"
"1225","36265125","HVZ5438","Pulmonary Disease","Health-Related","The distribution of participants with and without pulmonary disease.","With Pulmonary Disease",NA,NA
"1226","36265125","HVZ5438","Pulmonary Disease","Health-Related","The distribution of participants with and without pulmonary disease.","Without Pulmonary Disease",NA,NA
"1227","36265125","HVZ5438","Dementia","Health-Related","The distribution of participants with and without dementia.","With Dementia",NA,NA
"1228","36265125","HVZ5438","Dementia","Health-Related","The distribution of participants with and without dementia.","Without Dementia",NA,NA
"1229","36265125","HVZ5438","Gastrointestinal Disease","Health-Related","The distribution of participants with and without gastrointestinal disease.","With Gastrointestinal Disease",NA,NA
"1230","36265125","HVZ5438","Gastrointestinal Disease","Health-Related","The distribution of participants with and without gastrointestinal disease.","Without Gastrointestinal Disease",NA,NA
"1231","36265125","HVZ5438","Stroke","Health-Related","The distribution of participants with and without a history of stroke.","With Stroke",NA,NA
"1232","36265125","HVZ5438","Stroke","Health-Related","The distribution of participants with and without a history of stroke.","Without Stroke",NA,NA
"1233","36265125","HVZ5438","Hepatobiliary Disease","Health-Related","The distribution of participants with and without hepatobiliary disease.","With Hepatobiliary Disease",NA,NA
"1234","36265125","HVZ5438","Hepatobiliary Disease","Health-Related","The distribution of participants with and without hepatobiliary disease.","Without Hepatobiliary Disease",NA,NA
"1235","36265125","HVZ5438","Diabetes Mellitus","Health-Related","The distribution of participants with and without diabetes mellitus.","With Diabetes Mellitus",NA,NA
"1236","36265125","HVZ5438","Diabetes Mellitus","Health-Related","The distribution of participants with and without diabetes mellitus.","Without Diabetes Mellitus",NA,NA
"1237","36265125","HVZ5438","Cardiovascular Disease","Health-Related","The distribution of participants with and without cardiovascular disease.","With Cardiovascular Disease",NA,NA
"1238","36265125","HVZ5438","Cardiovascular Disease","Health-Related","The distribution of participants with and without cardiovascular disease.","Without Cardiovascular Disease",NA,NA
"1239","36265125","HVZ5438","Hyperlipidemia","Health-Related","The distribution of participants with and without hyperlipidemia.","With Hyperlipidemia",NA,NA
"1240","36265125","HVZ5438","Hyperlipidemia","Health-Related","The distribution of participants with and without hyperlipidemia.","Without Hyperlipidemia",NA,NA
"1241","36265125","HVZ5438","Autoimmune Disease","Health-Related","The distribution of participants with and without autoimmune disease.","With Autoimmune Disease",NA,NA
"1242","36265125","HVZ5438","Autoimmune Disease","Health-Related","The distribution of participants with and without autoimmune disease.","Without Autoimmune Disease",NA,NA
"1243","36265125","HVZ5438","Cancer","Health-Related","The distribution of participants with and without a history of cancer.","With Cancer",NA,NA
"1244","36265125","HVZ5438","Cancer","Health-Related","The distribution of participants with and without a history of cancer.","Without Cancer",NA,NA
"1245","36265125","HVZ5438","Kidney Disease","Health-Related","The distribution of participants with and without kidney disease.","With Kidney Disease",NA,NA
"1246","36265125","HVZ5438","Kidney Disease","Health-Related","The distribution of participants with and without kidney disease.","Without Kidney Disease",NA,NA
"1247","36265125","HVZ5438","Hypertension","Health-Related","The distribution of participants with and without hypertension.","With Hypertension",NA,NA
"1248","36265125","HVZ5438","Hypertension","Health-Related","The distribution of participants with and without hypertension.","Without Hypertension",NA,NA
"1249","36265125","HVZ5438","Psychotic Disorders","Health-Related","The distribution of participants with and without psychotic disorders.","With Psychotic Disorders",NA,NA
"1250","36265125","HVZ5438","Psychotic Disorders","Health-Related","The distribution of participants with and without psychotic disorders.","Without Psychotic Disorders",NA,NA
"1251","37448423","PJZ1075","Gender","Demographic","The distribution of male and female participants.","Male","52","52%"
"1252","37448423","PJZ1075","Gender","Demographic","The distribution of male and female participants.","Female","48","48%"
"1253","37448423","PJZ1075","Race/Ethnicity","Demographic","The distribution of participants by race/ethnicity.","White","40","40%"
"1254","37448423","PJZ1075","Race/Ethnicity","Demographic","The distribution of participants by race/ethnicity.","Black","42","42%"
"1255","37448423","PJZ1075","Race/Ethnicity","Demographic","The distribution of participants by race/ethnicity.","Hispanic","11","11%"
"1256","37448423","PJZ1075","Primary Payer","Other","The primary payer distribution among participants.","Medicare","47","47%"
"1257","37448423","PJZ1075","Primary Payer","Other","The primary payer distribution among participants.","Medicaid","21","21%"
"1258","37448423","PJZ1075","Primary Payer","Other","The primary payer distribution among participants.","Private Insurance","20","20%"
"1259","37448423","PJZ1075","Primary Payer","Other","The primary payer distribution among participants.","No Insurance","10","10%"
"1260","37448423","PJZ1075","Prevalence of COPD","Health-Related","The distribution of participants with chronic obstructive pulmonary disease.","Female","21","21%"
"1261","37448423","PJZ1075","Prevalence of COPD","Health-Related","The distribution of participants with chronic obstructive pulmonary disease.","Male","15","15%"
"1262","37448423","PJZ1075","Prevalence of Connective Tissue Disease","Health-Related","The distribution of participants with connective tissue disease.","Female","4.6","4.6%"
"1263","37448423","PJZ1075","Prevalence of Connective Tissue Disease","Health-Related","The distribution of participants with connective tissue disease.","Male","0.98","0.98%"
"1264","37448423","PJZ1075","Prevalence of Dementia","Health-Related","The distribution of participants with dementia.","Female","6","6%"
"1265","37448423","PJZ1075","Prevalence of Dementia","Health-Related","The distribution of participants with dementia.","Male","3","3%"
"1266","37448423","PJZ1075","Prevalence of Chronic Kidney Disease (CKD)","Health-Related","The distribution of participants with chronic kidney disease.","Male","51","51%"
"1267","37448423","PJZ1075","Prevalence of Chronic Kidney Disease (CKD)","Health-Related","The distribution of participants with chronic kidney disease.","Female","42","42%"
"1268","35102219","LPK8600","Age","Demographic","The age distribution of the study participants.","Older Adults","16591","100%"
"1269","35102219","LPK8600","Employment Status","Other","The employment status of the participants.",NA,NA,NA
"1270","35102219","LPK8600","Geographic Distribution","Geographic","The geographic distribution of the study participants.","Territory-Wide","1",NA
"1271","35102219","LPK8600","Prevalence of Hypertension","Health-Related","The distribution of participants with a diagnosis of hypertension.",NA,NA,NA
"1272","35102219","LPK8600","Prevalence of Dementia","Health-Related","The number of participants who developed dementia.",NA,"1429",NA
"1273","33839636","YEE6410","Age","Demographic","Age distribution of the study sample.","Under 55","NA","NA"
"1274","33839636","YEE6410","Age","Demographic","Age distribution of the study sample.","55-64","NA","NA"
"1275","33839636","YEE6410","Age","Demographic","Age distribution of the study sample.","65-74","NA","NA"
