"","pmid","year","journal","articletitle","abstract"
"53","35745194","2022","Nutrients","Effects of Diastolic Blood Pressure on Brain Structures and Cognitive Functions in Middle and Old Ages: Longitudinal Analyses.","Hypertension is a pervasive public health concern due to strong associations with cardiovascular diseases and stroke. Alternatively, the associations between hypertension and the risk of Alzheimer's disease are complex and recent large sample studies reported positive associations. In this paper, we examine the associations between diastolic blood pressure (BP) and subsequent changes in brain structure and cognitive function over several years by multiple regression analyses (with adjustment for a wide range of potential confounding variables) among a large cohort from the UK Biobank. Higher baseline diastolic BP was associated with a slightly smaller relative increase (relative improvements) in reaction time and a slightly greater reduction in depression scores. Higher baseline diastolic BP was also associated with a greater total gray matter volume (GMV) retention, while aging alone was associated with GMV reduction. White matter microstructural analyses revealed that a greater diastolic BP was associated with reduced longitudinal mean and regional fractional anisotropy, greater increases in mean and regional mean diffusivity, radial diffusivity, and axial diffusivity, a greater decline in mean intracellular volume fraction, and greater increases in mean and regional isotropic volume fraction. These white matter microstructural changes were consistent with those seen in the aging process. Additional analyses revealed a greater cheese intake level at baseline, which is associated with a subsequent decline in diastolic BP and a relative subsequent increase in depressive tendency together with a relative increase in fluid intelligence and visuospatial memory performance. These results are congruent with the view that a higher BP in the aging brain has a complex role."
"54","35437254","2022","BMJ open","Public perceptions of brain health: an international, online cross-sectional survey.","To investigate public perspectives on brain health. Cross-sectional multilanguage online survey. Lifebrain posted the survey on its website and social media and shared it with stakeholders. The survey was open from 4 June 2019 to 31 August 2020. n=27 590 aged ≥18 years from 81 countries in five continents completed the survey. The respondents were predominantly women (71%), middle aged (41-60 years; 37%) or above (>60 years; 46%), highly educated (69%) and resided in Europe (98%). Respondents' views were assessed regarding factors that may influence brain health, life periods considered important to look after the brain and diseases and disorders associated with the brain. We run exploratory linear models at a 99% level of significance to assess correlates of the outcome variables, adjusting for likely confounders in a targeted fashion. Of all significant effects, the respondents recognised the impact of lifestyle factors on brain health but had relatively less awareness of the role socioeconomic factors might play. Most respondents rated all life periods as important for the brain (95%-96%), although the prenatal period was ranked significantly lower (84%). Equally, women and highly educated respondents more often rated factors and life periods to be important for brain health. Ninety-nine per cent of respondents associated Alzheimer's disease and dementia with the brain. The respondents made a connection between mental health and the brain, and mental disorders such as schizophrenia and depression were significantly more often considered to be associated with the brain than neurological disorders such as stroke and Parkinson's disease. Few respondents (<32%) associated cancer, hypertension, diabetes and arthritis with the brain. Differences in perceptions of brain health were noted among specific segments of the population. Policies providing information about brain-friendly health behaviours and targeting people less likely to have relevant experience may be needed."
"55","35418462","2022","Neurology","Visit-to-Visit Blood Pressure Variability and CSF Alzheimer Disease Biomarkers in Cognitively Unimpaired and Mildly Impaired Older Adults.","Blood pressure variability is an emerging risk factor for cognitive decline and dementia, but mechanisms remain unclear. The current study examined whether visit-to-visit blood pressure variability is related to CSF Alzheimer disease biomarker levels over time and whether associations differed by APOE ε4 carrier status. In this retrospective analysis of a prospective cohort study, cognitively unimpaired or mildly impaired older adults from the Alzheimer's Disease Neuroimaging Initiative underwent 3 to 4 blood pressure measurements over a 12-month period and ≥1 lumbar puncture for evaluation of CSF phosphorylated tau, total tau, and β-amyloid levels at follow-up (6-108 months later). APOE ε4 carriers were defined as having ≥1 ε4 allele. Visit-to-visit blood pressure variability was determined over 12 months as variability independent of mean. Only CSF samples collected after the final blood pressure measurement were analyzed. Bayesian linear growth modeling investigated the role of blood pressure variability, APOE ε4, and the passage of time on CSF biomarker levels after controlling for several variables, including average blood pressure and baseline hypertension. Four hundred sixty-six participants (mean 76.7 [SD 7.1] years of age) were included in the study. Elevated blood pressure variability was associated with increased CSF phosphorylated tau (β = 0.81 [95% CI 0.74, 0.97]), increased total tau (β = 0.98 [95% CI 0.71, 1.31]), and decreased β-amyloid levels (β = -1.52 [95% CI -3.55, -0.34]) at follow-up. APOE ε4 carriers with elevated blood pressure variability had the fastest increase in phosphorylated tau levels (β = 9.03 [95% CI 1.67, 16.36]). Blood pressure variability was not significantly related to total tau or β-amyloid levels over time according to APOE ε4 carrier status. Older adults with elevated blood pressure variability exhibit increased CSF phosphorylated tau, increased total tau, and decreased β-amyloid over time, suggesting that blood pressure variability may correlate with alterations in Alzheimer disease biomarkers. Findings warrant further study of the relationship between blood pressure variability and the development of Alzheimer disease. APOE ε4 carrier status moderated relationships between blood pressure variability and CSF phosphorylated tau but not total tau or β-amyloid, consistent with other studies relating hemodynamic factors to tau changes."
"56","35410174","2022","BMC neurology","Pulse pressure is associated with cognitive performance in Japanese non-demented population: a cross-sectional study.","Growing evidence suggests that vascular risk factors, especially hypertension, relate not only to cardiovascular disease but also to cognitive impairment. However, the impact of pulse pressure on cognitive function remains controversial. In this study, we evaluated the associations between pulse pressure and cognitive function in a Japanese health examination cohort using propensity matching analysis. We examined 2,546 individuals with a mean age of 60.8 ± 10.3 years who voluntarily participated in health examination. Clinical variables included pulse pressure, and brain magnetic resonance imaging (MRI). We divided the participants into the high and low pulse pressure groups with a pre-defined cut-off value of 65 mmHg and evaluated their physical examination data, cognitive functions including Okabe's test, Kohs' test, and silent brain lesions using propensity matching. To clarify whether pulse pressure and blood pressure have different implications for cognitive function, a mediating analysis was also conducted. From the 2,546 subjects, 439 (17.2%) were in the high PP group. The propensity matching algorithm produced 433 pairs of patients with similar propensities. Higher pulse pressure corresponded to lower Okabe and Kohs' scores (44.3 ± 7.1 vs 42.7 ± 7.5; p = 0.002, 97.9 ± 18.0 vs 95.0 ± 18.1 p = 0.019, respectively). The relationship between pulse pressure and cognitive impairment was not significantly mediated by systolic blood pressure. We observed no significant associations between silent brain lesions and pulse pressure. High pulse pressure was associated with lower cognitive performance without systolic blood pressure mediation in Japanese subjects without dementia."
"57","35102219","2022","Scientific reports","Late-life longitudinal blood pressure trajectories as predictor of dementia.","While hypertension is widely recognized as a risk factor for dementia, few observational studies and clinical trials fully accounted for the effect of age on blood pressure (BP) changes prior to dementia onset. In this territory-wide population-based longitudinal study of 16,591 community-living dementia-free older adults, we followed their BP and cognitive status and tested if loss of longitudinal increase in BP in late life was associated with higher dementia risk in 6 years, with consideration of the confounding effects of hypertension, hypotension, BP variability, and other health problems and behaviours and, in the data analysis, exclusion of individuals who developed dementia within 3 years after baseline to minimize risk of reverse causality. Over 72,997 person-years of follow-up, 1429 participants developed dementia. We found that loss of longitudinal increase in systolic BP (defined as SBP increased by either < 10 mmHg or 10%) from baseline to Year 3 was independently associated with higher risk of incident dementia at Years 4 to 6 (adjusted OR 1.22, 95% CI 1.02-1.45, p = 0.03; adjusted OR 1.24, 95% CI 1.03-1.50, p = 0.02; respectively). Our findings suggest that late-life SBP trajectory changes might independently predict dementia onset and highlight the importance of including longitudinal BP monitoring in dementia risk assessment."
"58","35253220","2022","Epilepsia","Clinical outcomes in transient epileptic amnesia: A 10-year follow-up cohort study of 47 cases.","Transient epileptic amnesia (TEA) is a form of adult-onset epilepsy where presenting features are well described, but little is known regarding prognosis. This study aimed to elucidate the long-term prognosis of TEA regarding seizure control, memory, medical comorbidities, and life expectancy. Up-to-date clinical information was collected for 47 people diagnosed with TEA who had joined the The Impairment of Memory in Epilepsy (TIME) study 10 years earlier. At entry to the study, information about comorbid conditions was systematically collected. Details regarding subsequent diagnoses, seizure activity, changes to treatment, or reports of cognitive impairment were obtained through the family doctor. The variables of interest were compared with UK population data. Mortality in the cohort was 21 of 47 (45%), with an average age at death of 82.5 years. Seizures remained well controlled for the majority but medications required adjustments in dose and type for some (28%). A small number (three cases) remained seizure-free without medication. History of cardiovascular disorders was frequent (78.7%), typically involving hypertension (55.3%). Autoimmune disorders (25.5%), cancer (23.4%), and depression (21.3%) were also commonly reported. Although persisting memory problems were often noted, dementia was diagnosed in seven cases (14.9%). Life expectancy and comorbidities in TEA did not differ from available population norms. Results suggest that life expectancy is not reduced in TEA. Although TEA does not appear to be a self-limiting form of epilepsy, seizures are typically well controlled via medication. Because adjustments to medication may be required, even after long periods of stability, ongoing medical monitoring is recommended. Comorbid vascular disorders are frequent but appear similar to general population estimates. Monitoring mood may be important, given that people with chronic conditions are often vulnerable to depression. Because of persisting memory difficulties, the development of effective memory interventions for people with TEA is warranted."
"59","34611033","2022","Journal of investigative medicine : the official publication of the American Federation for Clinical Research","Neuroimaging risk factors for participation restriction after acute ischemic stroke: 1-year follow-up study.","The aim of the present study was to determine the neuroimaging predictors of poor participation after acute ischemic stroke. A total of 443 patients who had acute ischemic stroke were assessed. At 1-year recovery, the Reintegration to Normal Living Index was used to assess participation restriction. We also assessed the Activities of Daily Living Scale and modified Rankin Scale (mRS) score. Brain MRI measurement included acute infarcts and pre-existing abnormalities such as enlarged perivascular spaces, white matter lesions, ventricular-brain ratio, and medial temporal lobe atrophy (MTLA). The study included 324 men (73.1%) and 119 women (26.9%). In the univariate analysis, patients with poor participation after 1 year were older, more likely to be men, had higher National Institutes of Health Stroke Scale (NIHSS) score on admission, with more histories of hypertension and atrial fibrillation, larger infarct volume, more severely enlarged perivascular spaces and MTLA, and more severe periventricular hyperintensities and deep white matter hyperintensities. Patients with participation restriction also had poor activities of daily living (ADL) and mRS score. Multiple logistic regression showed that, in model 1, age, male gender, NIHSS score on admission, and ADL on follow-up were significant predictors of poor participation, accounting for 60.2% of the variance. In model 2, which included both clinical and MRI variables, male gender, NIHSS score on admission, ADL on follow-up, and MTLA were significant predictors of poor participation, accounting for 61.2% of the variance. Participation restriction was common after acute ischemic stroke despite good mRS score. Male gender, stroke severity, severity of ADL on follow-up, and MTLA may be predictors of poor participation. Trial registration number ChiCTR1800016665."
"60","34581957","2022","Brain imaging and behavior","Blood pressure variability and medial temporal atrophy in apolipoprotein ϵ4 carriers.","Blood pressure variability is an emerging risk factor for dementia but relationships with markers of neurodegeneration and Alzheimer's disease risk are understudied. We investigated blood pressure variability over one year and follow-up medial temporal brain volume change in apolipoprotein ϵ4 carriers and non-carriers, and in those with and without Alzheimer's disease biomarker abnormality. 1051 Alzheimer's Disease Neuroimaging Initiative participants without history of dementia or stroke underwent 3-4 blood pressure measurements over 12 months and ≥ 1 MRI thereafter. A subset (n = 252) underwent lumbar puncture to determine Alzheimer's disease cerebral spinal fluid amyloid-beta and phosphorylated tau biomarker abnormality. Blood pressure variability over 12 months was calculated as variability independent of mean. Longitudinal hippocampal and entorhinal cortex volume data were extracted from serial brain MRI scans obtained after the final blood pressure measurement. Apolipoprotein ϵ4 carrier status was defined as at least one ϵ4 allele. Bayesian growth modelling revealed a significant interaction of blood pressure variability by ϵ4 by time on hippocampal (ß: -2.61 [95% credible interval -3.02, -2.12]) and entorhinal cortex (ß: -1.47 [95% credible interval -1.71, -1.17]) volume decline. A similar pattern emerged in subsets with Alzheimer's disease pathophysiology (i.e., abnormal levels of both amyloid-beta and phosphorylated tau). Findings suggest that elevated blood pressure variability is related to medial temporal volume loss specifically in ϵ4 carriers, and in those with Alzheimer's disease biomarker abnormality. Findings could implicate blood pressure variability in medial temporal neurodegeneration observed in older ϵ4 carriers and those with prodromal Alzheimer's disease."
"61","34930728","2021","BMJ open","Association between dementia parental family history and mid-life modifiable risk factors for dementia: a cross-sectional study using propensity score matching within the Lifelines cohort.","Individuals with a parental family history (PFH) of dementia have an increased risk to develop dementia, regardless of genetic risks. The aim of this study is to investigate the association between a PFH of dementia and currently known modifiable risk factors for dementia among middle-aged individuals using propensity score matching (PSM). A cross-sectional study. A subsample of Lifelines (35-65 years), a prospective population-based cohort study in the Netherlands was used. Fourteen modifiable risk factors for dementia and the overall Lifestyle for Brain Health (LIBRA) score, indicating someone's potential for dementia risk reduction (DRR). The study population included 89 869 participants of which 10 940 (12.2%) had a PFH of dementia (mean (SD) age=52.95 (7.2)) and 36 389 (40.5%) without a PFH of dementia (mean (SD) age=43.19 (5.5)). Of 42 540 participants (47.3%), PFH of dementia was imputed. After PSM, potential confounding variables were balanced between individuals with and without PFH of dementia. Individuals with a PFH of dementia had more often hypertension (OR=1.19; 95% CI 1.14 to 1.24), high cholesterol (OR=1.24; 95% CI 1.18 to 1.30), diabetes (OR=1.26; 95% CI 1.11 to 1.42), cardiovascular diseases (OR=1.49; 95% CI 1.18 to 1.88), depression (OR=1.23; 95% CI 1.08 to 1.41), obesity (OR=1.14; 95% CI 1.08 to 1.20) and overweight (OR=1.10; 95% CI 1.05 to 1.17), and were more often current smokers (OR=1.20; 95% CI 1.14 to 1.27) and ex-smokers (OR=1.21; 95% CI 1.16 to 1.27). However, they were less often low/moderate alcohol consumers (OR=0.87; 95% CI 0.83 to 0.91), excessive alcohol consumers (OR=0.93; 95% CI 0.89 to 0.98), socially inactive (OR=0.84; 95% CI 0.78 to 0.90) and physically inactive (OR=0.93; 95% CI 0.91 to 0.97). Having a PFH of dementia resulted in a higher LIBRA score (RC=0.15; 95% CI 0.11 to 0.19). We found that having a PFH of dementia was associated with several modifiable risk factors. This suggests that middle-aged individuals with a PFH of dementia are a group at risk and could benefit from DRR. Further research should explore their knowledge, beliefs and attitudes towards DRR, and whether they are willing to assess their risk and change their lifestyle to reduce dementia risk."
"62","34872609","2021","Biology of sex differences","Sex-related associations between body height and cognitive impairment among low-income elderly adults in rural China: a population-based cross-sectional study.","Body height is a marker of childhood health and cumulative net nutrition during growth periods. However, sex-specific associations between body height and cognitive impairment are not well known in northern rural China. We assessed sex differences in the association between body height and cognitive impairment in a low-income elderly population in rural China. A population-based cross-sectional study was conducted from April 2014 to August 2014 to collect basic information from elderly residents aged 60 years and older in rural areas of Tianjin, China. Body height and Mini Mental State Examination (MMSE) scores were measured, and the relationships between these variables were assessed. A total of 1081 residents with a mean age of 67.7 years were enrolled in this study. After adjusting for age, educational attainment, smoking status, drinking status, and the presence of hypertension, diabetes, and hypercholesterolemia, higher body height was found to be associated with a decreased prevalence of cognitive impairment in elderly men. Each 1-dm increase in height was associated with a 37% decrease in the prevalence of cognitive impairment. However, there was no significant association between body height and cognitive impairment among elderly women. In conclusion, shorter body height was related to cognitive impairment independently of age, educational attainment, lifestyle factors, and health-related comorbid factors among low-income elderly men in rural China. Accordingly, shorter elderly men may be targeted for effective dementia prevention in rural China."
"63","34867798","2021","Frontiers in endocrinology","Positive Association Between Plasma Aldosterone Concentration and White Matter Lesions in Patients With Hypertension.","White matter lesions (WMLs) are imaging changes in MRI of cerebral small vessel disease associated with vascular risk factors, increasing the risk of dementia, depression, and stroke. Aldosterone (ALD) or activation of mineralocorticoid receptor (MR) causes cerebrovascular injury in a mouse model. We aimed to analyze the relationship between ALD and WMLs in a population with hypertension. We conducted a retrospective review of all patients screened for causes of secondary hypertension. We enrolled 547 patients with WMLs and matched these to controls without WMLs at a 1:1 ratio. White matter lesion load was assessed by using a modified Scheltens' scale. Among the analytic sample (N = 1,094) with ages ranging from 30 to 64 years, 62.2% were male. We divided plasma ALD concentration (PAC), plasma renin activity (PRA), and ALD-renin ratio (ARR) into the third tertile (Q3), second tertile (Q2), and first tertile (Q1). We also analyzed them simultaneously as continuous variables. Multivariate logistic regression analysis showed that participants in Q3 (>17.26 ng/dl) of PAC (OR 1.59, 95% CI 1.15, 2.19), Q3 (<0.80 ng/dl) of PRA (OR 2.50, 95% CI 1.81, 3.44), and Q3 (>18.59 ng/dl per ng/ml*h) of ARR (OR 2.90, 95% CI 2.10, 4.01) had a significantly higher risk of WMLs than those in Q1 (<12.48) of PAC, Q1 (>2.19) of PRA, and Q1 (<6.96) of ARR. In linear regression analysis, we separately analyzed the correlation between the modified Scheltens' scale score and log(PAC) (β = 2.36; 95% CI 1.30, 3.41; p < 0.001), log(PRA) (β = -1.76; 95% CI -2.09, -1.43; p < 0.001), and log(ARR) (β = 1.86; 95% CI 1.55, 2.17; p < 0.001), which were all significantly correlated with white matter lesion load, after adjusting for confounding factors. Simple mediation analyses showed that systolic blood pressure (SBP) or diastolic blood pressure (DBP) mediated -3.83% or -2.66% of the association between PAC and white matter lesion load, respectively. In stratified analyses, there was no evidence of subgroup heterogeneity concerning the change in the risk of WMLs (p > 0.05 for interaction for all). Higher PAC, especially in PAC >17.26 ng/dl, increased the risk of WMLs. PAC was positively associated with white matter lesion load independent of SBP or DBP."
"64","34610047","2021","PloS one","Association of pre-existing comorbidities with mortality and disease severity among 167,500 individuals with COVID-19 in Canada: A population-based cohort study.","The novel coronavirus disease 2019 (COVID-19) has infected 1.9% of the world population by May 2, 2021. Since most previous studies that examined risk factors for mortality and severity were based on hospitalized individuals, population-based cohort studies are called for to provide evidence that can be extrapolated to the general population. Therefore, we aimed to examine the associations of comorbidities with mortality and disease severity in individuals with COVID-19 diagnosed in 2020 in Ontario, Canada. We conducted a retrospective cohort study of all individuals with COVID-19 in Ontario, Canada diagnosed between January 15 and December 31, 2020. Cases were linked to health administrative databases maintained in the ICES which covers all residents in Ontario. The primary outcome is all-cause 30-day mortality after the first COVID-19 diagnosis, and the secondary outcome is a composite severity index containing death and hospitalization. To examine the risk factors for the outcomes, we employed Cox proportional hazards regression models and logistic regression models to adjust for demographic, socio-economic variables and comorbidities. Results were also stratified by age groups. A total of 167,500 individuals were diagnosed of COVID-19 in 2020 and included in the study. About half (43.8%, n = 73,378) had at least one comorbidity. The median follow-up period were 30 days. The most common comorbidities were hypertension (24%, n = 40,154), asthma (16%, n = 26,814), and diabetes (14.7%, n = 24,662). Individuals with comorbidity had higher risk of mortality compared to those without (HR = 2.80, 95%CI 2.35-3.34; p<0.001), and the risk substantially was elevated from 2.14 (95%CI 1.76-2.60) to 4.81 (95%CI 3.95-5.85) times as the number of comorbidities increased from one to five or more. Significant predictors for mortality included comorbidities such as solid organ transplant (HR = 3.06, 95%CI 2.03-4.63; p<0.001), dementia (HR = 1.46, 95%CI 1.35-1.58; p<0.001), chronic kidney disease (HR = 1.45, 95%CI 1.34-1.57; p<0.001), severe mental illness (HR = 1.42, 95%CI%, 1.12-1.80; p<0.001), cardiovascular disease (CVD) (HR = 1.22, 95%CI, 1.15-1.30), diabetes (HR = 1.19, 95%, 1.12-1.26; p<0.001), chronic obstructive pulmonary disease (COPD) (HR = 1.19, 95%CI 1.12-1.26; p<0.001), cancer (HR = 1.17, 95%CI, 1.09-1.27; p<0.001), hypertension (HR = 1.16, 95%CI, 1.07-1.26; p<0.001). Compared to their effect in older age groups, comorbidities were associated with higher risk of mortality and severity in individuals under 50 years old. Individuals with five or more comorbidities in the below 50 years age group had 395.44 (95%CI, 57.93-2699.44, p<0.001) times higher risk of mortality compared to those without. Limitations include that data were collected during 2020 when the new variants of concern were not predominant, and that the ICES databases do not contain detailed individual-level socioeconomic and racial variables. We found that solid organ transplant, dementia, chronic kidney disease, severe mental illness, CVD, hypertension, COPD, cancer, diabetes, rheumatoid arthritis, HIV, and asthma were associated with mortality or severity. Our study highlights that the number of comorbidities was a strong risk factor for deaths and severe outcomes among younger individuals with COVID-19. Our findings suggest that in addition of prioritizing by age, vaccination priority groups should also include younger population with multiple comorbidities."
"65","34292967","2021","PloS one","An association analysis between hypertension, dementia, and depression and the phases of pre-sarcopenia to sarcopenia: A cross-sectional analysis.","Sarcopenia is intricately related to aging associated diseases, such as neuropsychiatric disorders, oral status, and chronic diseases. Dementia and depression are interconnected and also related to sarcopenia. The preliminary shift from robust to sarcopenia (i.e., pre-sarcopenia) is an important albeit underdiscussed stage and is the focus of this study. Identifying factors associated with pre-sarcopenia may lead to sarcopenia prevention. To separately examine the effects of dementia and depression on pre-sarcopenia/sarcopenia, we conducted multiple analyses. This cross-sectional study used health checkup data from a rural Japanese island. The participants were aged 60 years and above, and the data included muscle mass, gait speed, handgrip strength, oral status (teeth and denture), chronic diseases (e.g., hypertension), dementia (cognitive assessment for dementia, iPad Version), and depression (self-rating depression scale). A total of 753 older adult participants were divided into the sarcopenia (n = 30), pre-sarcopenia (n = 125), and robust (n = 598) groups. An ordered logit regression analysis indicated that age and depression were positively correlated with sarcopenia, while hypertension was negatively associated with it. A multiple logistic regression analysis between the robust and pre-sarcopenia groups showed significant associations between the same three variables. Depression was associated with pre-sarcopenia, but not dementia. There was also a significant association between hypertension and pre-sarcopenia. Further research is needed to reveal whether the management of these factors can prevent sarcopenia."
"66","34176293","2021","Journal of the American Heart Association","Long-Term Blood Pressure Variability and Risk of Cognitive Decline and Dementia Among Older Adults.","Background Blood pressure variability (BPV) in midlife increases risk of late-life dementia, but the impact of BPV on the cognition of adults who have already reached older ages free of major cognitive deficits is unknown. We examined the risk of incident dementia and cognitive decline associated with long-term, visit-to-visit BPV in a post hoc analysis of the ASPREE (Aspirin in Reducing Events in the Elderly) trial. Methods and Results ASPREE participants (N=19 114) were free of dementia and significant cognitive impairment at enrollment. Measurement of BP and administration of a standardized cognitive battery evaluating global cognition, delayed episodic memory, verbal fluency, and processing speed and attention occurred at baseline and follow-up visits. Time-to-event analysis using Cox proportional hazards regression models were used to calculate hazard ratios (HR) and corresponding 95% CI for incident dementia and cognitive decline, according to tertile of SD of systolic BPV. Individuals in the highest BPV tertile compared with the lowest had an increased risk of incident dementia and cognitive decline, independent of average BP and use of antihypertensive drugs. There was evidence that sex modified the association with incident dementia (interaction P=0.02), with increased risk in men (HR, 1.68; 95% CI, 1.19-2.39) but not women (HR, 1.01; 95% CI, 0.72-1.42). For cognitive decline, similar increased risks were observed for men and women (interaction P=0.15; men: HR, 1.36; 95% CI, 1.16-1.59; women: HR, 1.14; 95% CI, 0.98-1.32). Conclusions High BPV in older adults without major cognitive impairment, particularly men, is associated with increased risks of dementia and cognitive decline
Registration URL: https://www.clinicaltrials.gov; Unique identifier: NCT01038583; isrctn.com
Identifier: ISRCTN83772183."
"67","34153171","2021","Journal of clinical hypertension (Greenwich, Conn.)","Blood pressure variability and cognitive dysfunction: A systematic review and meta-analysis of longitudinal cohort studies.","The variability of blood pressure (BPV) has been suggested as a clinical indicator for cognitive dysfunction, yet the results from clinical studies are variable. This study investigated the relationship between BPV and the risk of cognitive decline or dementia. Bibliographic databases, including PubMed, Scopus, and Embase, were searched systematically for longitudinal cohort studies with BPV measurements and neuropsychological examinations or dementia diagnosis. A traditional meta-analysis with subgroup analysis, and a further dose-response meta-analysis were conducted. Twenty cohort studies with 7 924 168 persons were included in this review. The results showed that a higher systolic BPV (SBPV), when measured with the coefficient of variation (SBP-CV) or standard deviation (SBP-SD), was associated with a higher risk of all-cause dementia diagnosis but not incidence of cognitive decline on neuropsychological examinations. In subgroup analysis, the effect was more prominent when using BPV of shorter timeframes, during shorter follow-ups, or among the elderly aged more than 65 years. No dose-response relationship could be found. Our study suggested possible positive associations between SBPV and the risk of dementia. Further studies are required to validate these findings."
"68","33910513","2021","BMC geriatrics","Influence of comorbidities on functional outcomes in patients with surgically treated fragility hip fractures: a retrospective cohort study.","The incidence and number of fragility hip fractures are gradually increasing, resulting in a wide consumption of medical resources. Various factors affecting functional recovery in patients with fragility hip fractures are known, and comorbid diseases are one of them. The purpose of this study is to determine the effect of comorbidities on functional outcomes in patients surgically treated for fragility hip fractures, thereby contributing to the efficient distribution of medical resources. This was a retrospective cohort study performed in the three tertiary rehabilitation facilities. A total of 211 patients (50 men and 161 women; average age 81.6 ± 6.7 years) who had undergone surgery for fragility hip fractures were followed up from immediately after transfer to the Department of Rehabilitation Medicine to 6 months postoperatively. Comorbidities referred to a summary of the following conditions: hypertension, diabetes mellitus, chronic liver disease, dementia, cerebrovascular accident, and osteoporosis. Functional outcomes included Koval's grade, Functional Ambulatory Category (FAC), Functional Independence Measure (FIM)-locomotion, Modified Rivermead Mobility Index, Berg Balance Scale (BBS), 4-Meter Walking speed Test (4MWT), the Korean version of the Mini-Mental State Examination(K-MMSE), Geriatric Depression Scale (GDS), EuroQol Five-Dimension (EQ-5D) questionnaire, the Korean version of the Modified Barthel Index (K-MBI), the Korean version of the Instrumental Activities of Daily Living (K-IADL), and Korean version of Fatigue, Resistance, Ambulation, Illnesses, and Loss of weight scale (K-FRAIL). For all tests, each patient was assessed immediately after transfer and 6 months post-surgery. Multivariate linear regression analyses adjusted for age, sex, the initial variable of the functional outcomes, and comorbidities revealed that dementia had a significant negative impact on Koval's grade and K-FRAIL 6 months postoperatively. Diabetes mellitus had a significant negative impact on the FAC, GDS, EQ-5D, K-IADL, and K-FRAIL 6 months postoperatively. Patients with osteoporosis showed a significant negative outcome of FIM-locomotion 6 months postoperatively. A cerebrovascular accident revealed a significant negative impact on the BBS 6 months postoperatively. In addition, hypertension led to significantly less favorable outcomes of the K-FRAIL 6 months postoperatively. This study confirmed that comorbidities, particularly dementia and diabetes mellitus, significantly influence functional outcomes 6 months after fragility hip fracture surgeries."
"69","33839636","2021","Atencion primaria","[Descriptive study of delirium in the emergency department].","To better understand the clinical, functional and analytical variables associated with delirium in emergencies and their evolution in order to obtain an improvement in the therapeutic approach of the elderly patient, thus preventing morbidity and mortality in this type of patient. This is a prospective descriptive study of acute confusional syndrome in the emergency department
SITE: General University Hospital of Ciudad Real. All patients from the emergency department with a diagnosis of delirium were included in the 24-h interval following admission to the geriatric service. An analysis of the variables of the data set (sociodemographic and clinical variables) was performed, calculating frequency tables for qualitative variables and descriptive statistics for quantitative variables. Subsequently, statistical inference techniques have been used. The most frequent medical antecedent were neurological pathology and hypertension, followed by rheumatologic diseases. The main reasons for consultation were deterioration in general condition, dyspnea, decreased level of consciousness, and fever. Highlight the incidence of polypharmacy, especially drugs such as diuretics, benzodiazepines or hypnotics. In relation to the main etiology, the role of urinary and respiratory infections is noteworthy. Highlight the fundamental role of neurological diseases (especially dementia), hypertension, polypharmacy (inappropriate use of benzodiazepines and hypnotics) and urinary and respiratory infections as treatable and/or preventable factors of delirium in Primary Care patients in our setting."
"70","33798213","2021","PloS one","Visit-to-visit blood pressure variability is common in primary care patients: Retrospective cohort study of 221,803 adults.","Although high visit-to-visit blood pressure variability (BPV) is an independent risk factor for cardiovascular events, the frequency of high BPV is unknown. We conducted this study to define the frequency of high BPV in primary care patients, clinical correlates, and association with antihypertensive therapies. Retrospective cohort study using electronic medical record data (with previously validated case definitions based on billing codes, free text analysis of progress notes, and prescribing data) from the Canadian Primary Care Sentinel Surveillance Network of 221,803 adults with multiple clinic visits over a 2-year period. We a priori defined a standard deviation>13.0 mm Hg in visit-to-visit systolic blood pressure (SBP) as ""high BPV"" based on prior literature. Overall, 85,455 (38.5%) patients had hypertension (mean 6.56 visits with SBP measurement, mean SBP 134.4 with Standard Deviation [SD] 11.3, 33.2% exhibited high BPV) and 136,348 did not (mean 3.96 visits with SBP measurement, mean SBP 120.9 with SD 8.2, 16.5% had high BPV). BPV increased with age regardless of whether individuals had hypertension or not; at all ages BPV varied across antihypertensive treatment regimens and was greater in those receiving renin angiotensin blockers or beta-blockers (p<0.001). High BPV was more frequent in patients with diabetes, chronic kidney disease, dementia, depression, chronic obstructive pulmonary disease, or Parkinson's disease. High visit-to-visit BPV is present in one sixth of non-hypertensive adults and one third of hypertensive individuals and is more common in those with comorbidities. The frequency of high BPV varies across antihypertensive treatment regimens."
