"","pmid","field","value","annotators","var_freq","precision"
"253","36092174","MAJOR RESULTS","MOST PATIENTS WERE WHITE WOMEN, WITH A MEAN AGE OF 80 YEARS AND AN AVERAGE BMI OF 23.55 KG/M2. THE MOST COMMON COMORBIDITIES WERE SYSTEMIC ARTERIAL HYPERTENSION, DIABETES MELLITUS, AND ALZHEIMER'S DISEASE. THE MAJORITY OF PATIENTS WERE CONSIDERED MALNOURISHED OR AT RISK OF MALNUTRITION.",10,1,0.1
"254","36092174","EFFECT SIZE","NOT APPLICABLE",10,6,0.6
"255","36092174","LOWER CONFIDENCE INTERVAL","NOT APPLICABLE",10,6,0.6
"256","36092174","UPPER CONFIDENCE INTERVAL","NOT APPLICABLE",10,6,0.6
"257","36092174","P-VALUE","NOT APPLICABLE",10,6,0.6
"258","33798213","MAJOR RESULTS","HIGH BPV WAS PRESENT IN ONE SIXTH OF NON-HYPERTENSIVE ADULTS AND ONE THIRD OF HYPERTENSIVE INDIVIDUALS, ASSOCIATED WITH COMORBIDITIES AND TREATMENT REGIMENS. BPV VARIED ACROSS AGE GROUPS AND ANTIHYPERTENSIVE THERAPIES.",10,1,0.1
"259","33798213","EFFECT SIZE","13.0",10,1,0.1
"260","33798213","LOWER CONFIDENCE INTERVAL","11.2",10,1,0.1
"261","33798213","UPPER CONFIDENCE INTERVAL","14.5",10,1,0.1
"262","33798213","P-VALUE","<0.001",10,5,0.5
"263","31444142","POPULATION SIZE","502 INDIVIDUALS ASSESSED, 465 PARTICIPANTS INCLUDED IN IMAGING ANALYSES",10,1,0.1
"264","31444142","MAJOR RESULTS","HIGHER MIDLIFE BLOOD PRESSURE ASSOCIATED WITH INCREASED CEREBRAL SMALL VESSEL DISEASE BURDEN AND SMALLER BRAIN VOLUMES IN LATE LIFE; NO ASSOCIATION WITH AMYLOID STATUS",10,1,0.1
"265","31444142","EFFECT SIZE","0.07 - 0.15 INCREASE IN WMHV PER 10 MM HG HIGHER SBP, 0.15 INCREASE IN WMHV PER 10 MM HG HIGHER DBP, 6.9 ML REDUCTION IN BRAIN VOLUME PER 10 MM HG HIGHER DBP",10,1,0.1
"266","31444142","LOWER CONFIDENCE INTERVAL","1-14% INCREASE IN MEAN WMHV PER 10 MM HG HIGHER SBP, 4-27% INCREASE IN MEAN WMHV PER 10 MM HG HIGHER DBP",10,1,0.1
"267","31444142","UPPER CONFIDENCE INTERVAL","3-29% INCREASE IN MEAN WMHV PER 1 SD CHANGE IN SBP, 3-30% INCREASE IN MEAN WMHV PER 1 SD CHANGE IN DBP",10,1,0.1
"268","31444142","P-VALUE","P=0.0054 - 0.024 FOR ASSOCIATIONS BETWEEN BLOOD PRESSURE AND BRAIN HEALTH OUTCOMES",10,1,0.1
"269","33067992","MAJOR RESULTS","METS WAS ASSOCIATED WITH LOWER COGNITIVE FUNCTIONING, AND METS SEVERITY EMERGED AS A BETTER PREDICTOR THAN MOST METS COMPONENTS.",10,1,0.1
"270","33067992","EFFECT SIZE","-4.86",10,7,0.7
"271","33067992","LOWER CONFIDENCE INTERVAL","-7.60",10,7,0.7
"272","33067992","UPPER CONFIDENCE INTERVAL","-2.11",10,7,0.7
"273","33067992","P-VALUE","0.001",10,8,0.8
"274","33767305","POPULATION SIZE","86 PARTICIPANTS, 111 EYES",10,5,0.5
"275","33767305","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,6,0.6
"276","33767305","MAJOR RESULTS","LSFG PULSE WAVEFORM PARAMETERS SIGNIFICANTLY CORRELATED WITH SYSTEMIC AND OCULAR FACTORS, WITH SKEW AND FAI SHOWING POTENTIAL IMPLICATIONS FOR OCULAR CIRCULATION STUDIES.",10,1,0.1
"277","36389342","MAJOR RESULTS","PACE WAS POSITIVELY ASSOCIATED WITH GMV IN THE RIGHT SUPERIOR TEMPORAL SULCUS, BILATERAL SUPPLEMENTARY MOTOR AREAS, AND BILATERAL CEREBELLAR REGIONS. RHYTHM WAS POSITIVELY ASSOCIATED WITH GMV IN BILATERAL SMA, PREFRONTAL, CINGULATE, AND PARACINGULATE CORTICES.",10,2,0.2
"278","36389342","EFFECT SIZE","NOT PROVIDED",10,4,0.4
"279","36389342","LOWER CONFIDENCE INTERVAL","NOT PROVIDED",10,5,0.5
"280","36389342","UPPER CONFIDENCE INTERVAL","NOT PROVIDED",10,5,0.5
"281","36389342","P-VALUE","NOT PROVIDED",10,5,0.5
"282","30368247","COVARIATE DEFINITIONS IN MAINTEXT","N",10,4,0.4
"283","30368247","MAJOR RESULTS","INDIVIDUALS WITH HIGHER VARIABILITY IN EACH METABOLIC PARAMETER WERE AT HIGHER RISK OF FUTURE DEMENTIA. A LINEAR ASSOCIATION WAS OBSERVED BETWEEN THE NUMBER OF PARAMETERS WITH HIGH VARIABILITY AND THE RISK OF DEMENTIA.",10,1,0.1
"284","30368247","P-VALUE","< 0.001",10,1,0.1
"285","37441712","STUDY DESIGN","MULTICENTER CROSS-SECTIONAL STUDY",10,1,0.1
"286","37441712","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,7,0.7
"287","37441712","MAJOR RESULTS","PATIENTS WITH A LOWER SEVERITY GRADE TENDED TO BE YOUNGER AND HAD A LOWER PREVALENCE OF HYPERTENSION AND DIABETES. HIGHER SEVERITY GRADES WERE ASSOCIATED WITH AN INCREASED NUMBER OF VASCULAR RISK FACTORS. DIFFERENCES IN CORTICAL THICKNESS AND WHITE MATTER HYPERINTENSITY VOLUME BETWEEN DIFFERENT SEVERITY GRADES WERE NOT STATISTICALLY SIGNIFICANT.",10,1,0.1
"288","37441712","EFFECT SIZE","N/A",10,1,0.1
"289","37441712","LOWER CONFIDENCE INTERVAL","N/A",10,1,0.1
"290","37441712","UPPER CONFIDENCE INTERVAL","N/A",10,1,0.1
"291","37441712","P-VALUE","<0.001 FOR INTER-RATER RELIABILITY, P=0.027 AND P=0.018 FOR HYPERTENSION AND DIABETES MELLITUS PREVALENCE, P=0.02 FOR THE ASSOCIATION WITH INCREASED VASCULAR RISK FACTORS.",10,1,0.1
"292","33655975","COVARIATE DEFINITIONS IN MAINTEXT","N",10,2,0.2
"293","33655975","MAJOR RESULTS","BMI, FMI, AND TFMI SHOWED SIGNIFICANT POSITIVE CORRELATIONS WITH COGNITIVE FUNCTIONS IN MALES, BUT NOT IN FEMALES. FFMI DID NOT SHOW SIGNIFICANT CORRELATIONS. FAT MASS HAD A STRONGER CORRELATION WITH COGNITIVE FUNCTION COMPARED TO FAT-FREE MASS.",10,1,0.1
"294","33655975","EFFECT SIZE","VARIOUS EFFECT SIZES FOR THE CORRELATIONS BETWEEN BMI, FMI, TFMI, FFMI, AND COGNITIVE FUNCTIONS.",10,1,0.1
"295","33655975","LOWER CONFIDENCE INTERVAL","NOT PROVIDED",10,1,0.1
"296","33655975","UPPER CONFIDENCE INTERVAL","NOT PROVIDED",10,1,0.1
"297","33655975","P-VALUE","MULTIPLE P-VALUES REPORTED FOR DIFFERENT CORRELATIONS BETWEEN BMI, BODY COMPOSITION INDEXES, AND COGNITIVE FUNCTIONS IN MALES AND FEMALES.",10,1,0.1
"298","37830725","POPULATION SIZE","21 INSTITUTIONALIZED ADULTS WITH IDD",10,2,0.2
"299","37830725","MAJOR RESULTS","LOW PHYSICAL FITNESS LEVELS AND HIGH METABOLIC/CARDIOVASCULAR MARKERS OBSERVED IN PARTICIPANTS WITH IDD. FUNCTIONAL AND NEUROMUSCULAR ABILITY ASSOCIATED WITH QUALITY OF LIFE.",10,1,0.1
"300","37830725","EFFECT SIZE","NOT REPORTED",10,1,0.1
"301","37830725","LOWER CONFIDENCE INTERVAL","NOT REPORTED",10,1,0.1
"302","37830725","UPPER CONFIDENCE INTERVAL","NOT REPORTED",10,1,0.1
"303","37698858","MAJOR RESULTS","INDIVIDUALS WITH UNTREATED HYPERTENSION HAD A 42% INCREASED RISK OF DEMENTIA COMPARED WITH HEALTHY CONTROLS AND 26% INCREASED RISK COMPARED WITH INDIVIDUALS WITH TREATED HYPERTENSION.",10,1,0.1
"304","37698858","EFFECT SIZE","1.42",10,7,0.7
"305","37698858","LOWER CONFIDENCE INTERVAL","1.15",10,8,0.8
"306","37698858","UPPER CONFIDENCE INTERVAL","1.76",10,8,0.8
"307","37698858","P-VALUE","0.001",10,8,0.8
"308","38229871","POPULATION SIZE","NOT SPECIFIED",10,3,0.3
"309","38229871","MAJOR RESULTS","PREEXISTING COMORBIDITIES SUCH AS DEMENTIA, CARDIOVASCULAR AND RENAL DISEASES, AND CANCERS WERE MOST RELATED TO ADVERSE OUTCOMES.",10,3,0.3
"310","38229871","EFFECT SIZE","NOT PROVIDED",10,2,0.2
"311","38229871","LOWER CONFIDENCE INTERVAL","NOT PROVIDED",10,2,0.2
"312","38229871","UPPER CONFIDENCE INTERVAL","NOT PROVIDED",10,2,0.2
"313","38229871","P-VALUE","NOT PROVIDED",10,2,0.2
"314","31617930","POPULATION SIZE","164 PARTICIPANTS WITH SYMPTOMATIC AD, KNOWN PARENTAL HISTORY OF DEMENTIA, AND AVAILABLE DNA DATA",10,1,0.1
"315","31617930","MAJOR RESULTS","MEASURED ACQUIRED AND HERITABLE FACTORS ACCOUNTED FOR 29% OF INTERGENERATIONAL AGE AT SYMPTOMATIC ONSET DIFFERENCES IN AD. FACTORS ASSOCIATED WITH EARLIER-THAN-EXPECTED ONSET INCLUDED PARENTAL HISTORY OF DEMENTIA, MORE YEARS OF EDUCATION, AND RETROSPECTIVE AAO DETERMINATION; WHILE FACTORS ASSOCIATED WITH LATER-THAN-EXPECTED ONSET INCLUDED PARENTAL HISTORY OF EARLY-ONSET DEMENTIA, APOE Ε4 ALLELE, AND HISTORY OF HYPERTENSION.",10,1,0.1
"316","31617930","EFFECT SIZE","-4.70 TO 21.30",10,1,0.1
"317","31617930","LOWER CONFIDENCE INTERVAL","-13.79 TO -0.06",10,1,0.1
"318","31617930","UPPER CONFIDENCE INTERVAL","-0.09 TO 27.59",10,1,0.1
"319","29574441","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,4,0.4
"320","29574441","MAJOR RESULTS","DIET AND INSULIN SENSITIVITY EXPLAINED VARIABILITY IN BRAIN CORTICAL THICKNESS IN MIDDLE-AGED ADULTS, WITH DIET POSITIVELY ASSOCIATED WITH BRAIN STRUCTURE.",10,1,0.1
"321","29574441","EFFECT SIZE","0.26 TO 0.58",10,1,0.1
"322","29574441","LOWER CONFIDENCE INTERVAL","0.26",10,4,0.4
"323","29574441","UPPER CONFIDENCE INTERVAL","0.58",10,4,0.4
"324","29574441","P-VALUE","<0.01",10,2,0.2
"325","37203319","MAJOR RESULTS","AGE, CHRONIC OBSTRUCTIVE PULMONARY DISEASE, AND SPECIFIC COVID-19 WAVES WERE ASSOCIATED WITH HIGHER MORTALITY, WHILE GLUCOCORTICOID TREATMENT WAS A PROTECTIVE FACTOR AGAINST IN-HOSPITAL MORTALITY.",10,1,0.1
"326","30180830","MAJOR RESULTS","DECREASED FITNESS BEYOND AGE 79 WAS NOT A RISK FACTOR FOR SUBSEQUENT DEMENTIA. FEV1, GRIP STRENGTH, AND WALKING SPEED AT AGE 79 YEARS WERE NOT ASSOCIATED WITH DEMENTIA RISK. APOE Ε4 STATUS REMAINED AN IMPORTANT PREDICTOR FOR DEMENTIA.",10,1,0.1
"327","36699985","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,6,0.6
"328","36699985","MAJOR RESULTS","FOUR BASIC CARE NEEDS IDENTIFIED WERE SOCIAL RESOURCES REFERRAL AND LEGAL SUPPORT, DRUG KNOWLEDGE EDUCATION, MEMORY PROBLEM CARE, AND FALL PREVENTION.",10,1,0.1
"329","34176293","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,2,0.2
"330","34176293","MAJOR RESULTS","HIGH BLOOD PRESSURE VARIABILITY IN OLDER ADULTS WITHOUT MAJOR COGNITIVE IMPAIRMENT, PARTICULARLY MEN, IS ASSOCIATED WITH INCREASED RISKS OF DEMENTIA AND COGNITIVE DECLINE.",10,3,0.3
"331","37711969","MAJOR RESULTS","HIGH SYSTOLIC AND DIASTOLIC SHORT- AND MID-TERM BLOOD PRESSURE VARIABILITY WERE ASSOCIATED WITH POORER COGNITIVE FUNCTIONING, INDEPENDENT OF MEAN BP. SHORT-TERM BPV LINKED TO POORER ATTENTION AND PSYCHOMOTOR SPEED, WHILE DAY-TO-DAY BPV NEGATIVELY ASSOCIATED WITH EXECUTIVE FUNCTIONING. CIRCADIAN BP PATTERNS SHOWED NO SIGNIFICANT RELATIONSHIPS WITH COGNITION. SYSTOLIC SHORT-TERM BPV ASSOCIATED WITH HIGHER ARTERIAL STIFFNESS, DIASTOLIC DAY-TO-DAY BPV WITH LOWER ARTERIAL STIFFNESS. NO SIGNIFICANT ASSOCIATIONS BETWEEN BPV MEASURES AND CEREBROVASCULAR PULSATILITY.",10,1,0.1
"332","37711969","EFFECT SIZE","NOT REPORTED",10,3,0.3
"333","37711969","LOWER CONFIDENCE INTERVAL","NOT REPORTED",10,3,0.3
"334","37711969","UPPER CONFIDENCE INTERVAL","NOT REPORTED",10,3,0.3
"335","37711969","P-VALUE","NOT REPORTED",10,3,0.3
"336","35897033","MAJOR RESULTS","ADVANCED AGE, LOW EDUCATION LEVEL, PROLONGED DM DURATION, ARTERIAL HYPERTENSION, DEPRESSION SYMPTOMS, CARDIOVASCULAR DISEASE WERE IDENTIFIED AS RISK FACTORS ASSOCIATED WITH COGNITIVE DECLINE IN T2DM PATIENTS.",10,1,0.1
"337","35897033","EFFECT SIZE","REFER TO OR VALUES IN TEXT",10,1,0.1
"338","35897033","LOWER CONFIDENCE INTERVAL","REFER TO CI95% VALUES IN TEXT",10,1,0.1
"339","35897033","UPPER CONFIDENCE INTERVAL","REFER TO CI95% VALUES IN TEXT",10,1,0.1
"340","35897033","P-VALUE","NOT EXPLICITLY MENTIONED",10,4,0.4
"341","35533660","POPULATION SIZE","21,920 FOR PRIMARY ANALYSIS; 12,694 FOR SECONDARY ANALYSIS",10,1,0.1
"342","35533660","MAJOR RESULTS","PSYCHOSOCIAL VARIABLES. GREATER SUBJECTIVE COGNITIVE DECLINE-RELATED WORRY WAS ASSOCIATED WITH SPECIFIC PERSONALITY TRAITS, DEPRESSION, AGE, GENDER, AND SEXUALITY.",10,1,0.1
"343","34872609","STUDY DESIGN","POPULATION-BASED CROSS-SECTIONAL STUDY",10,7,0.7
"344","34872609","MAJOR RESULTS","HIGHER BODY HEIGHT WAS ASSOCIATED WITH A DECREASED PREVALENCE OF COGNITIVE IMPAIRMENT IN ELDERLY MEN, WITH A 37% DECREASE IN PREVALENCE FOR EACH 1-DM INCREASE IN HEIGHT. NO SIGNIFICANT ASSOCIATION WAS OBSERVED IN ELDERLY WOMEN.",10,2,0.2
"345","34872609","LOWER CONFIDENCE INTERVAL","0.50",10,2,0.2
"346","34872609","UPPER CONFIDENCE INTERVAL","0.78",10,1,0.1
"347","34872609","P-VALUE","NOT REPORTED",10,2,0.2
"348","38443972","COVARIATE DEFINITIONS IN MAINTEXT","N",10,5,0.5
"349","38443972","MAJOR RESULTS","UNTREATED DIABETES PREVALENCE WAS HIGHER FOR MALES.",10,4,0.4
"350","38443972","EFFECT SIZE","VARIABLE EFFECT SIZES REPORTED",10,1,0.1
"351","38443972","LOWER CONFIDENCE INTERVAL","VARIABLE CONFIDENCE INTERVALS REPORTED",10,1,0.1
"352","38443972","UPPER CONFIDENCE INTERVAL","VARIABLE CONFIDENCE INTERVALS REPORTED",10,1,0.1
"353","38443972","P-VALUE","NOT EXPLICITLY PROVIDED",10,1,0.1
"354","37079031","STUDY DESIGN","OBSERVATIONAL STUDY",10,2,0.2
"355","37079031","POPULATION SIZE","72",10,9,0.9
"356","37079031","MAJOR RESULTS","MACULAR THICKNESS WAS SIGNIFICANTLY ASSOCIATED WITH MOCA SCORES IN MANIFEST HUNTINGTON'S DISEASE, WITH THE INNER NUCLEAR LAYER SHOWING THE LARGEST REGRESSION COEFFICIENTS.",10,2,0.2
"357","37079031","EFFECT SIZE","NOT REPORTED",10,2,0.2
"358","37079031","LOWER CONFIDENCE INTERVAL","NOT REPORTED",10,2,0.2
"359","37079031","UPPER CONFIDENCE INTERVAL","NOT REPORTED",10,2,0.2
"360","37079031","P-VALUE","NOT REPORTED",10,2,0.2
"361","36265125","MAJOR RESULTS","COVID-19 INFECTION RATE AND SEVERITY WERE ASSOCIATED WITH VARIOUS COMORBIDITIES, WITH DISTINCT ODDS RATIOS REPORTED FOR EACH CONDITION.",10,1,0.1
"362","36265125","EFFECT SIZE","1.75",10,5,0.5
"363","36265125","LOWER CONFIDENCE INTERVAL","1.40",10,5,0.5
"364","36265125","UPPER CONFIDENCE INTERVAL","2.20",10,5,0.5
"365","36265125","P-VALUE","0.02",10,5,0.5
"366","37448423","MAJOR RESULTS","MALE PATIENTS WITH HYPERTENSIVE EMERGENCY HAD 39% HIGHER ODDS OF MORTALITY COMPARED TO FEMALES. AGE AND CHARLSON COMORBIDITY INDEX WERE IDENTIFIED AS INDEPENDENT PREDICTORS.",10,1,0.1
"367","35102219","STUDY DESIGN","LONGITUDINAL POPULATION-BASED STUDY",10,4,0.4
"368","33839636","POPULATION SIZE","113",10,7,0.7
"369","33839636","MAJOR RESULTS","THE MOST FREQUENT MEDICAL ANTECEDENTS WERE NEUROLOGICAL PATHOLOGY AND HYPERTENSION. MAIN CONSULTATION REASONS INCLUDED GENERAL CONDITION DETERIORATION, DYSPNEA, DECREASED CONSCIOUSNESS, AND FEVER. POLYPHARMACY WITH DRUGS LIKE DIURETICS, BENZODIAZEPINES, OR HYPNOTICS WAS NOTED. URINARY AND RESPIRATORY INFECTIONS PLAYED A SIGNIFICANT ROLE IN DELIRIUM ETIOLOGY.",10,1,0.1
"370","34611033","STUDY DESIGN","OBSERVATIONAL STUDY WITH LONGITUDINAL FOLLOW-UP",10,1,0.1
"371","34611033","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,6,0.6
"372","34611033","MAJOR RESULTS","MALE GENDER, STROKE SEVERITY, ADL ON FOLLOW-UP, AND MTLA ARE SIGNIFICANT PREDICTORS OF POOR PARTICIPATION AFTER ACUTE ISCHEMIC STROKE.",10,1,0.1
"373","34611033","EFFECT SIZE","0.75",10,3,0.3
"374","34611033","LOWER CONFIDENCE INTERVAL","",10,1,0.1
"375","34611033","UPPER CONFIDENCE INTERVAL","",10,1,0.1
"376","34611033","P-VALUE","",10,1,0.1
"377","33126696","MAJOR RESULTS","DEPRESSION AND DIABETES MELLITUS WERE ASSOCIATED WITH INCREASED RISK OF DEVELOPING AD, WHILE TREATED DYSLIPIDEMIA REDUCED THIS RISK.",10,1,0.1
"378","33126696","EFFECT SIZE","0.54",10,2,0.2
"379","33126696","LOWER CONFIDENCE INTERVAL","0.27",10,4,0.4
"380","33126696","P-VALUE","< 0.05",10,5,0.5
"381","36092174","MAJOR RESULTS","MOST PATIENTS WERE WHITE WOMEN, WITH A MEAN AGE OF 80 YEARS AND AN AVERAGE BMI OF 23.55 KG/M2. THE MOST COMMON COMORBIDITIES WERE SYSTEMIC ARTERIAL HYPERTENSION, DIABETES MELLITUS, AND ALZHEIMER'S DISEASE. MOST PATIENTS WERE CONSIDERED MALNOURISHED OR AT RISK OF MALNUTRITION.",10,2,0.2
"382","33798213","MAJOR RESULTS","HIGH VISIT-TO-VISIT BLOOD PRESSURE VARIABILITY IS PRESENT IN 38.5% OF HYPERTENSIVE PATIENTS AND 16.5% OF NON-HYPERTENSIVE ADULTS, WITH VARIATIONS ACROSS ANTIHYPERTENSIVE TREATMENT REGIMENS.",10,1,0.1
"383","31444142","POPULATION SIZE","502 PARTICIPANTS ASSESSED IN INSIGHT 46",10,2,0.2
"384","31444142","MAJOR RESULTS","HIGHER BLOOD PRESSURE IN MIDLIFE ASSOCIATED WITH GREATER CEREBRAL SMALL VESSEL DISEASE BURDEN, SMALLER BRAIN VOLUMES, AND NON-SIGNIFICANT EFFECTS ON AMYLOID STATUS OR COGNITION.",10,1,0.1
"385","31444142","EFFECT SIZE","0.07 FOR WMHV PER 10 MM HG SBP AT 53 YEARS; 0.15 FOR WMHV PER 10 MM HG DBP AT 53 YEARS",10,1,0.1
"386","31444142","LOWER CONFIDENCE INTERVAL","1-14 FOR SBP AT 53 YEARS AFFECTING WMHV; 4-27 FOR DBP AT 53 YEARS AFFECTING WMHV",10,1,0.1
"387","31444142","UPPER CONFIDENCE INTERVAL","1-14 FOR SBP AT 53 YEARS AFFECTING WMHV; 4-27 FOR DBP AT 53 YEARS AFFECTING WMHV",10,1,0.1
"388","31444142","P-VALUE","0.024 FOR SBP AT 53 YEARS AFFECTING WMHV; 0.0057 FOR DBP AT 53 YEARS AFFECTING WMHV",10,1,0.1
"389","33067992","MAJOR RESULTS","METABOLIC SYNDROME WAS ASSOCIATED WITH LOWER COGNITIVE FUNCTIONING, WITH SEVERITY OF METS EMERGING AS A BETTER PREDICTOR THAN MOST METS COMPONENTS. RECOGNIZING AND REDUCING SEVERITY OF METS COMPONENTS MIGHT BE HELPFUL IN SUPPORTING COGNITIVE FUNCTIONING.",10,1,0.1
"390","33767305","POPULATION SIZE","86 HEALTHY JAPANESE INDIVIDUALS WITH 111 EYES",10,1,0.1
"391","33767305","MAJOR RESULTS","VARIOUS LSFG PULSE WAVEFORM PARAMETERS SIGNIFICANTLY CORRELATED WITH SYSTEMIC AND OCULAR FACTORS, INDICATING POTENTIAL IMPLICATIONS FOR OCULAR CIRCULATION AND VASCULAR HEALTH.",10,1,0.1
"392","36389342","MAJOR RESULTS","PACE WAS POSITIVELY ASSOCIATED WITH GMV IN THE RIGHT SUPERIOR TEMPORAL SULCUS, BILATERAL SUPPLEMENTARY MOTOR AREAS, AND BILATERAL CEREBELLAR REGIONS. RHYTHM WAS POSITIVELY ASSOCIATED WITH GMV IN BILATERAL SMA, PREFRONTAL, CINGULATE, AND PARACINGULATE CORTICES. THE GMV PATTERN ASSOCIATED WITH PACE WAS LESS EXPRESSED IN PARTICIPANTS WITH ANY VASCULAR DISEASE; THIS ASSOCIATION WAS ALSO FOUND INDEPENDENTLY WITH HYPERTENSION, DIABETES, AND MYOCARDIAL INFARCTION.",10,3,0.3
"393","36389342","EFFECT SIZE","NOT PROVIDED IN THE TEXT",10,1,0.1
"394","36389342","LOWER CONFIDENCE INTERVAL","NOT PROVIDED IN THE TEXT",10,1,0.1
"395","36389342","UPPER CONFIDENCE INTERVAL","NOT PROVIDED IN THE TEXT",10,1,0.1
"396","36389342","P-VALUE","NOT PROVIDED IN THE TEXT",10,1,0.1
"397","30368247","MAJOR RESULTS","INDIVIDUALS WITH HIGHER VARIABILITY IN METABOLIC PARAMETERS HAD AN INCREASED RISK OF DEVELOPING DEMENTIA, SHOWING A LINEAR ASSOCIATION BETWEEN THE NUMBER OF PARAMETERS WITH HIGH VARIABILITY AND THE RISK OF DEMENTIA.",10,1,0.1
"398","30368247","P-VALUE","0.001",10,3,0.3
"399","37441712","MAJOR RESULTS","PATIENTS WITH LOWER SEVERITY GRADES TENDED TO BE YOUNGER, HAD LOWER PREVALENCE OF HYPERTENSION AND DIABETES, WHILE HIGHER SEVERITY GRADES WERE ASSOCIATED WITH INCREASED VASCULAR RISK FACTORS. THE CADASIL SEVERITY GRADING SYSTEM WAS DEEMED RELIABLE AND INFORMATIVE FOR CHARACTERIZING PHENOTYPE.",10,1,0.1
"400","33655975","MAJOR RESULTS","BMI, FMI, AND TFMI SHOWED SIGNIFICANT POSITIVE CORRELATIONS WITH COGNITIVE FUNCTIONS IN MALES, PERSISTING EVEN AFTER ADJUSTING FOR CONFOUNDERS. NO SIGNIFICANT CORRELATIONS WERE SEEN IN FFMI. FEMALES DID NOT SHOW SIGNIFICANT CORRELATIONS.",10,1,0.1
"401","33655975","EFFECT SIZE","N/A",10,3,0.3
"402","33655975","LOWER CONFIDENCE INTERVAL","N/A",10,3,0.3
"403","33655975","UPPER CONFIDENCE INTERVAL","N/A",10,3,0.3
"404","33655975","P-VALUE","N/A",10,3,0.3
"405","37830725","MAJOR RESULTS","LOW LEVELS OF PHYSICAL FITNESS AND HIGH METABOLIC AND CARDIOVASCULAR MARKERS WERE OBSERVED IN THE PARTICIPANTS, WITH FUNCTIONAL AND NEUROMUSCULAR ABILITY ASSOCIATED WITH QOL.",10,1,0.1
"406","37698858","STUDY DESIGN","LONGITUDINAL",10,2,0.2
"407","37698858","MAJOR RESULTS","IN THE MAIN ANALYSIS, INDIVIDUALS WITH UNTREATED HYPERTENSION HAD A 42% INCREASED RISK OF DEMENTIA COMPARED TO HEALTHY CONTROLS. THERE WAS NO SIGNIFICANT ASSOCIATION OF BASELINE BP WITH DEMENTIA RISK.",10,1,0.1
"408","38229871","POPULATION SIZE","NOT EXPLICITLY PROVIDED",10,1,0.1
"409","38229871","MAJOR RESULTS","PREEXISTING COMORBIDITIES SUCH AS DEMENTIA, CARDIOVASCULAR AND RENAL DISEASES, AND CANCERS WERE MOST RELATED TO ADVERSE OUTCOMES DURING THE COVID-19 PANDEMIC.",10,3,0.3
"410","38229871","EFFECT SIZE","NOT APPLICABLE",10,2,0.2
"411","38229871","LOWER CONFIDENCE INTERVAL","NOT APPLICABLE",10,2,0.2
"412","38229871","UPPER CONFIDENCE INTERVAL","NOT APPLICABLE",10,2,0.2
"413","38229871","P-VALUE","NOT APPLICABLE",10,2,0.2
"414","31617930","MAJOR RESULTS","ACQUIRED AND HERITABLE FACTORS WERE ASSOCIATED WITH A SUBSTANTIAL PROPORTION OF VARIABILITY IN INTERGENERATIONAL AAO OF AD. POTENTIALS OF GENETIC VARIANTS IN CONTRIBUTING TO INTERGENERATIONAL VARIABILITY IN AAO WERE IDENTIFIED.",10,1,0.1
"415","31617930","UPPER CONFIDENCE INTERVAL","0.58",10,1,0.1
"416","29574441","STUDY DESIGN","CROSS-SECTIONAL, OBSERVATIONAL STUDY",10,2,0.2
"417","29574441","POPULATION SIZE","116 PARTICIPANTS",10,1,0.1
"418","29574441","MAJOR RESULTS","DIET AND INSULIN SENSITIVITY WERE ASSOCIATED WITH CORTICAL THICKNESS IN KEY BRAIN REGIONS FOR ALZHEIMER'S DISEASE AND INSULIN SENSITIVITY WERE POSITIVELY ASSOCIATED WITH MRI-BASED CORTICAL THICKNESS.",10,1,0.1
"419","29574441","EFFECT SIZE","0.26",10,2,0.2
"420","29574441","LOWER CONFIDENCE INTERVAL","0.20",10,1,0.1
"421","29574441","UPPER CONFIDENCE INTERVAL","0.26",10,1,0.1
"422","29574441","P-VALUE","P≤0.008",10,1,0.1
"423","37203319","MAJOR RESULTS","AGE, CHRONIC OBSTRUCTIVE PULMONARY DISEASE, AND SPECIFIC EPIDEMIOLOGICAL WAVES WERE IDENTIFIED AS FACTORS ASSOCIATED WITH HIGHER MORTALITY IN COVID-19 PATIENTS. GLUCOCORTICOID TREATMENT WAS HIGHLIGHTED AS A PROTECTIVE FACTOR.",10,1,0.1
"424","37203319","EFFECT SIZE","0.75",10,1,0.1
"425","37203319","UPPER CONFIDENCE INTERVAL","6.00",10,1,0.1
"426","37203319","P-VALUE","0.02",10,7,0.7
"427","30180830","MAJOR RESULTS","DECREASED PHYSICAL FITNESS AT AGE 79, MEASURED BY FEV1, GRIP STRENGTH, AND WALKING SPEED, WAS NOT FOUND TO BE ASSOCIATED WITH SUBSEQUENT DEMENTIA RISK. APOE Ε4 CARRIER STATUS REMAINED A SIGNIFICANT PREDICTOR FOR DEMENTIA.",10,1,0.1
"428","30180830","EFFECT SIZE","1.30",10,6,0.6
"429","30180830","LOWER CONFIDENCE INTERVAL","0.74",10,6,0.6
"430","30180830","UPPER CONFIDENCE INTERVAL","2.30",10,6,0.6
"431","30180830","P-VALUE","0.37",10,6,0.6
